course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Castle Pines Golf Club",72,7981,511,208,0.38,0.09,0.13,-0.33,323.2,19.3,0.6338,0.007,-0.041,-0.004,0.097,34.6,0.48,0.49,0.4,0.0617,0.6351,-0.078,0.03,0.003,-0.12,-0.017,0.005,-0.003,0.017,0.69,0.14
"Caves Valley Golf Club",71,7428,470,210,-0.23,0.11,0.03,-0.33,293.2,17.2,0.6167,-0.005,-0.016,0.041,0.033,32.1,0.32,0.26,0.28,0.0186,0.6512,0.002,0.056,-0.001,-0.064,0.03,-0.001,-0.015,-0.002,0.37,0.03
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061,31,0.34,0.34,0.6,0.0152,0.6326,-0.052,0.036,0.006,0.034,-0.078,-0.013,-0.036,-0.032,0.32,0.08
"Colonial Country Club",70,7026,447,194,0.56,0.07,0.06,-0.24,283.2,19.3,0.5552,0.003,0.027,-0.015,-0.043,28.2,0.37,0.35,0.35,0.0162,0.6141,-0.03,-0.005,0.008,0.032,0.043,0.002,0.002,0.005,0.29,0.02
"Congaree Golf Club",71,7364,473,188,0.08,0.1,0.05,-0.29,301.2,20.9,0.7075,-0.005,-0.041,-0.009,0.066,51.4,0.35,0.3,0.42,0.0346,0.6449,-0.025,-0.001,-0.047,-0.03,-0.053,0,-0.001,-0.02,0.28,0.02
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,0.31,0.26,0.5,0.0173,0.6881,0.053,0.036,0.03,0.029,0.017,0.001,-0.027,-0.008,0.39,0.02
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012,30.4,0.31,0.26,0.38,0.0321,0.6321,0.013,0.01,0.013,0.013,-0.047,0.004,0.008,0.005,0.38,0.07
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,35.2,0.33,0.22,0.37,0.0584,0.6416,0.014,0.025,0.008,-0.002,-0.002,0.006,0.012,0.004,0.51,0.07
"Detroit Golf Club",72,7326,471,184,-1.98,0.01,-0.04,-0.4,297.2,19.6,0.6584,-0.005,0.014,0.028,0.044,35.7,0.3,0.27,0.37,0.0095,0.7304,0.002,0.048,0.03,-0.002,0.008,-0.003,-0.011,-0.005,0.1,0.03
"Dunes Golf and Beach Club",71,7146,456,192,-1.46,0.03,-0.02,-0.46,291.5,19.4,0.5764,-0.001,0.026,0.016,-0.011,33.9,0.29,0.22,0.4,0.0089,0.6939,0.039,0.001,0.018,0.05,-0.004,0.002,-0.004,-0.005,0.14,0
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6022,-0.002,0.002,-0.053,-0.013,33,0.25,0.13,0.36,0.0305,0.6056,-0.038,-0.062,0.014,0.012,-0.063,0.001,0.014,-0.02,0.47,0.01
"East Lake Golf Club",70,7279,461,205,0.43,0.12,0.07,-0.47,291.3,16.1,0.5509,0.014,0.004,0.017,0.001,25,0.46,0.43,0.45,0.0188,0.6161,0.019,0.016,0.011,-0.022,0.032,0.009,0.026,0.011,0.27,0.04
"East Lake Golf Club (Par 71)",71,7253,464,189,-1.05,0.04,0.03,-0.5,303,16.4,0.5603,0.031,-0.017,-0.026,0.054,30.1,0.52,0.51,0.56,0.0049,0.623,-0.022,-0.029,0,-0.074,-0.012,0.007,0.085,0.017,0.17,0.03
"Erin Hills",72,7723,497,197,1.35,0.1,0.12,-0.07,294.7,20.4,0.7454,-0.011,-0.074,-0.002,0.016,48.8,0.54,0.49,0.56,0.017,0.6485,-0.059,0.023,-0.086,-0.149,-0.172,0.003,0.004,-0.046,0.09,0
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012,23.5,0.37,0.35,0.43,0.0013,0.5544,-0.041,0.005,-0.007,-0.002,-0.005,0.002,0.005,-0.001,0.15,0.03
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032,31.3,0.31,0.25,0.32,0.0241,0.6294,-0.01,-0.074,0.016,0.02,-0.023,0.005,0.016,0.001,0.46,0.04
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021,37,0.34,0.3,0.39,0.0264,0.6293,-0.034,0.018,-0.009,-0.073,-0.009,-0.004,-0.012,-0.029,0.28,0.04
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049,32.9,0.32,0.14,0.36,0.0987,0.6954,0.035,0.004,0.034,0.072,0.022,0.006,0.015,0.013,0.84,0.07
"Hamilton Golf &amp; Country Club",70,6925,437,204,-0.3,0.1,0.02,-0.46,289.7,17.8,0.5562,-0.01,0.002,0.009,0.006,33.2,0.4,0.33,0.55,0.0193,0.667,0.006,0.011,-0.003,-0.029,0.039,-0.005,-0.021,-0.011,0.09,0.01
"Harbour Town Golf Links",71,6989,447,184,-0.26,0.12,0.03,-0.35,276.8,19.3,0.6149,0.001,0.041,-0.027,-0.052,32.4,0.27,0.15,0.36,0.0328,0.5995,0.008,-0.044,0.037,0.075,0.008,0.001,-0.005,0.005,0.47,0.09
"Hurstbourne Country Club",70,7022,445,200,0.24,0.14,0.04,-0.4,300,23.9,0.5591,0.005,-0.037,-0.047,0.033,36.5,0.47,0.43,0.44,0.0329,0.6235,-0.044,-0.049,0.022,-0.076,-0.072,0.003,0.004,0.01,0.35,0.07
"Innisbrook Resort and Golf Club - Copperhead Course",71,7082,469,198,0.68,0.12,0.12,-0.24,277.6,17.2,0.5622,-0.003,0.016,-0.028,-0.069,27.5,0.35,0.23,0.51,0.0227,0.5686,-0.031,-0.026,0.031,0.011,0,0.001,-0.011,-0.004,0.19,0.02
