Last Name,First Name,short game,approach,driving-distance,driving-accuracy,total sg adj,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
SCHAUFFELE,XANDER,-0.04,-0.06,0.09,-0.01,-0.02,5.7,10.6,4.2,4.1,2.4,0.8,1.5,4.6,7.2,4.2
LUITEN,JOOST,0.03,0.03,-0.03,-0.05,-0.02,5.8,10.6,4.4,4.4,2.6,0.9,1.6,4.1,7.2,4.7
PREMLALL,YURAV,0.03,0.02,-0.07,0,-0.02,5.8,10.6,4.4,4.4,2.5,0.9,1.8,3.9,7.3,4.8
CHACARRA,EUGENIO,-0.01,-0.03,0.05,-0.03,-0.02,5.7,10.7,4.3,4.2,2.5,0.8,1.5,4.4,7.2,4.3
LACROIX,FREDERIC,0.04,0,0,-0.06,-0.02,5.8,10.6,4.3,4.3,2.6,0.9,1.6,4.2,7.2,4.6
KIM,MICHAEL,-0.05,-0.02,-0.01,0.06,-0.02,5.7,10.5,4.3,4.3,2.4,0.8,1.7,4.2,7.3,4.5
HUBBARD,MARK,0.03,-0.02,-0.03,-0.01,-0.03,5.8,10.6,4.3,4.3,2.4,0.8,1.7,4,7.3,4.6
KRUYSWIJK,JACQUES,0,0.03,-0.06,-0.01,-0.03,5.7,10.5,4.3,4.4,2.6,0.9,1.7,4,7.3,4.7
NEERGAARD-PETERSEN,RASMUS,0.02,-0.01,0.02,-0.06,-0.03,5.8,10.7,4.3,4.3,2.5,0.8,1.5,4.3,7.2,4.5
SMITH,JORDAN,0.03,-0.02,0.03,-0.07,-0.03,5.8,10.7,4.3,4.2,2.5,0.8,1.5,4.3,7.2,4.5
CANTER,LAURIE,0.06,-0.01,0.01,-0.1,-0.04,5.8,10.8,4.3,4.3,2.5,0.8,1.5,4.2,7.2,4.6
HALL,HARRY,-0.08,-0.01,-0.01,0.06,-0.04,5.7,10.3,4.2,4.3,2.4,0.8,1.7,4.2,7.3,4.5
NOVAK,ANDREW,0,-0.03,0.01,-0.01,-0.04,5.7,10.6,4.2,4.2,2.4,0.8,1.6,4.2,7.2,4.5
SADDIER,ADRIEN,0.02,0.01,-0.01,-0.05,-0.04,5.7,10.6,4.3,4.3,2.6,0.9,1.6,4.1,7.2,4.6
MEISSNER,MAC,-0.06,-0.02,0.01,0.03,-0.04,5.7,10.4,4.2,4.3,2.4,0.8,1.7,4.3,7.3,4.4
COLE,ERIC,-0.08,-0.03,-0.02,0.08,-0.04,5.7,10.4,4.2,4.3,2.3,0.8,1.8,4.1,7.3,4.4
COUVRA,MARTIN,0.01,0,-0.02,-0.04,-0.05,5.7,10.6,4.3,4.3,2.5,0.8,1.6,4.1,7.2,4.6
ARMITAGE,MARCUS,-0.01,0,-0.03,0,-0.05,5.7,10.5,4.3,4.3,2.5,0.9,1.7,4.1,7.3,4.6
BAUCHOU,ZACH,0,-0.03,-0.02,0,-0.05,5.7,10.6,4.3,4.3,2.4,0.8,1.7,4.1,7.3,4.6
ELVIRA MIJARES,IGNACIO,0,0,-0.06,0.01,-0.05,5.7,10.6,4.3,4.3,2.4,0.9,1.8,3.9,7.3,4.7
RAHM,JON,-0.05,-0.06,0.09,-0.03,-0.05,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.6,7.2,4.2
ABERG,LUDVIG,-0.04,-0.06,0.08,-0.04,-0.05,5.7,10.6,4.2,4.1,2.3,0.8,1.5,4.6,7.2,4.2
OK,TAEHOON,0.02,0.05,-0.08,-0.04,-0.05,5.7,10.4,4.3,4.5,2.7,0.9,1.7,3.8,7.3,4.9
HIDALGO PORTILLO,ANGEL,0.04,0.03,-0.03,-0.09,-0.06,5.8,10.7,4.4,4.4,2.7,0.9,1.6,4,7.2,4.8
