Last Name,First Name,Events,Rounds,shotlink-rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-T2G,SG-OTT,ev-text 7,Driving-Distance,Driving-Accuracy
STEVENS,SAM,29,106,96,0,0%,-0.13,0.03,0.16,0.44,0.59,0.62,0.48,5.6,0.60%
WALLACE,MATT,31,111,95,0,0%,0.1,0.15,0.42,-0.12,0.31,0.46,0.48,-1.9,-0.20%
FOX,RYAN,25,92,84,0,0%,0.04,0.05,0.22,0.18,0.39,0.44,0.45,7.3,-7.70%
PARRY,JOHN,33,120,103,0,0%,-0.24,0.07,0.33,0.06,0.39,0.46,0.44,-4.9,3.60%
COODY,PIERCESON,34,117,81,0,0%,0.08,-0.25,0.2,0.59,0.79,0.54,0.43,12.2,-1.40%
GHIM,DOUG,25,91,67,0,0%,-0.38,0.2,0.25,0.51,0.75,0.96,0.43,1.5,4.40%
BRENNAN,MICHAEL,32,113,59,4,13%,-0.21,-0.4,0.08,0.91,1,0.6,0.41,18,1.00%
MCGREEVY,MAX,32,104,80,0,0%,-0.35,0.09,0.18,0.27,0.45,0.54,0.39,-5.7,5.90%
DU PLESSIS,HENNIE,17,59,32,0,0%,-0.57,-0.09,0.3,0.37,0.67,0.58,0.37,7.9,-0.80%
KIM,TOM,24,85,78,0,0%,-0.07,0.21,0.46,-0.2,0.26,0.47,0.36,-5.2,3.30%
CASTILLO,RICKY,26,89,70,1,4%,0.11,0.15,-0.19,0.21,0.02,0.17,0.35,4.8,-0.30%
MCKIBBIN,TOM,30,104,92,1,3%,-0.24,0.03,-0.07,0.45,0.38,0.41,0.33,2.5,5.30%
NEERGAARD-PETERSEN,RASMUS,30,107,93,1,3%,-0.14,-0.18,0.24,0.5,0.74,0.56,0.32,3.9,2.50%
OLESEN,THORBJORN,28,92,82,0,0%,-0.18,0.04,0.16,0.23,0.39,0.43,0.3,0.6,-0.40%
ECHAVARRIA,NICO,28,93,78,1,4%,0.21,-0.12,0.06,-0.07,-0.01,-0.13,0.29,-5.8,2.70%
NOVAK,ANDREW,28,97,93,0,0%,-0.18,0.12,0.18,0.09,0.27,0.39,0.26,-1.2,-1.20%
YELLAMARAJU,SUDARSHAN,31,107,60,0,0%,0.28,-0.04,0.17,0.46,0.63,0.59,0.26,8.5,1.90%
KOEPKA,BROOKS,23,69,64,0,0%,-0.25,-0.02,0.21,0.19,0.41,0.38,0.24,6.3,-3.40%
PEREZ,VICTOR,22,82,76,0,0%,0.11,-0.09,0.02,0.19,0.2,0.11,0.21,0.7,3.00%
PUTNAM,ANDREW,30,97,73,0,0%,0.25,0.42,0.26,-0.59,-0.33,0.08,0.21,-22.1,10.30%
BROWN,DAN,28,89,80,1,4%,-0.07,-0.19,0.43,0.12,0.55,0.36,0.18,-7.2,2.90%
GREYSERMAN,MAX,26,76,65,0,0%,0.05,0.11,-0.05,-0.18,-0.23,-0.12,0.18,6.6,-6.10%
LINDBERG,MIKAEL,27,96,72,1,4%,0.01,-0.07,-0.39,0.64,0.24,0.17,0.18,17.2,-4.30%
IM,SUNGJAE,27,94,82,0,0%,0.09,0.47,-0.58,0.26,-0.31,0.16,0.17,-1.8,2.30%
YU,KEVIN,26,79,68,0,0%,-0.08,-0.03,-0.02,0.37,0.35,0.32,0.15,6.7,0.20%
KIRK,CHRIS,21,67,64,0,0%,-0.35,0.05,0.41,0.13,0.54,0.58,0.15,-1.1,0.20%
BAUCHOU,ZACH,27,96,51,1,4%,-0.03,0.17,0.42,-0.09,0.33,0.49,0.13,-4.6,-1.30%
CHACARRA,EUGENIO,34,115,86,2,6%,-0.05,-0.01,-0.17,0.17,0,-0.01,0.12,5.5,0.30%
LI,HAOTONG,32,99,89,0,0%,-0.14,-0.25,0.25,0.36,0.61,0.37,0.12,4.4,-0.30%
KEEFER,JOHNNY,31,102,62,1,3%,-0.5,-0.39,0.39,0.5,0.89,0.5,0.12,11.2,-1.30%
SCHMID,MATTI,30,103,84,0,0%,0.23,-0.09,-0.26,0.15,-0.12,-0.21,0.09,7.4,-5.00%
ECKROAT,AUSTIN,23,81,63,0,0%,0.08,-0.32,0.44,0.01,0.45,0.13,0.08,-2.2,0.40%
SNEDEKER,BRANDT,24,75,61,1,4%,0.16,0.29,0.27,-0.42,-0.14,0.14,0.05,-19.7,7.50%
JARVIS,CASEY,36,117,74,4,11%,-0.06,-0.43,0.1,-0.04,0.06,-0.37,0.03,-6.4,4.30%
MOORE,TAYLOR,26,86,68,0,0%,0.08,0.22,-0.44,0.24,-0.2,0.02,-0.01,6.3,-4.40%
ARMITAGE,MARCUS,31,108,82,0,0%,-0.01,0.06,0.26,-0.25,0.01,0.07,-0.03,-4.1,0.00%
FERGUSON,EWEN,30,96,77,0,0%,0.06,-0.3,0.12,0.08,0.2,-0.09,-0.04,-5.7,6.90%
NAKAJIMA,KEITA,24,82,71,0,0%,0.28,-0.3,0.06,0.04,0.09,-0.21,-0.05,0.3,0.50%
SMOTHERMAN,AUSTIN,25,78,49,0,0%,-0.39,-0.45,0.71,0.38,1.09,0.64,-0.09,-2.2,5.90%
HILL,CALUM,30,95,71,0,0%,0.82,-0.03,-0.34,-0.45,-0.79,-0.81,-0.1,-3.8,-2.60%
KANEKO,KOTA,34,124,34,2,6%,0.52,-0.02,0.22,-0.34,-0.12,-0.14,-0.11,-19.8,8.50%
HORSCHEL,BILLY,23,76,69,0,0%,0.21,-0.15,0.21,-0.26,-0.05,-0.2,-0.12,-4.7,-3.40%
POTGIETER,ALDRICH,24,73,60,0,0%,-0.21,-0.3,-0.1,0.53,0.43,0.13,-0.12,22.8,-5.50%
ROY,KEVIN,28,93,75,0,0%,0.27,0.11,-0.52,0.09,-0.43,-0.31,-0.12,1.8,1.50%
GUERRIER,JULIEN,27,87,70,0,0%,0.1,0.06,-0.17,0.01,-0.17,-0.1,-0.14,-1.6,0.90%
ROZNER,ANTOINE,27,93,69,0,0%,-0.13,-0.12,0.33,-0.17,0.16,0.05,-0.16,1.8,-0.30%
