POS,Last Name,First Name,TOTAL,SG OTT,D. DISTANCE,D. ACCURACY,SG APP,GIR,FAIRWAY PROX.,ROUGH PROX.,SG PUTT,SG ARG,SCRAMBLING,GREAT SHOTS,POOR SHOTS,SG TOTAL,SG T2G,SG BS
T65,WHITNELL,DALE,,-0.56,291.9,44.20%,-0.92,61.10%,"39' 2""","44' 3""",1.03,0.04,61.30%,4,4.75,-0.41,-1.44,-1.48
T71,DETRY,THOMAS,,0.53,302.1,61.50%,-1.62,58.30%,"38' 6""","48' 1""",0.53,-0.11,59.40%,2.5,5,-0.66,-1.19,-1.08
T71,HARRINGTON,PADRAIG,,-1.12,294.2,40.40%,0.31,61.10%,"33' 9""","59' 4""",-0.04,0.19,54.80%,2.75,4.25,-0.66,-0.62,-0.81
73,COUVRA,MARTIN,,-0.1,294.9,50.00%,-0.46,65.30%,"40' 9""","79' 6""",-0.24,-0.1,58.10%,4,5.5,-0.91,-0.66,-0.56
74,GERARD,RYAN,,0.45,297,63.50%,-0.27,68.10%,"39' 0""","50' 8""",-0.8,-0.53,47.10%,3.25,4.75,-1.16,-0.36,0.17
T75,STEVENS,SAM,,0.38,305.2,50.00%,-1.06,70.80%,"38' 11""","55' 0""",-0.64,-0.09,44.80%,3,4,-1.41,-0.77,-0.68
T75,BRIDGEMAN,JACOB,,-0.36,301.6,44.20%,-0.64,59.70%,"44' 3""","44' 10""",-0.85,0.44,64.70%,3.75,5.25,-1.41,-0.56,-1
T75,SYME,CONNOR,,-0.24,298.3,48.10%,0.34,68.10%,"31' 10""","62' 6""",-1.68,0.18,58.10%,3,4.5,-1.41,0.27,0.09
78,NORLANDER,HENRIK,,-0.51,290.2,50.00%,1.25,69.40%,"35' 5""","59' 4""",-1.7,-0.7,44.80%,3.5,3.5,-1.66,0.04,0.74
79,AN,BYEONG HUN,,0.53,307.9,42.30%,-1.75,58.30%,"44' 5""","56' 8""",-1.46,0.77,48.80%,2.5,5,-1.91,-0.45,-1.22
