POS,Player,TOTAL,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG-Around the Green,SG-Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG Total,SG Total (Rank)
CUT,Cam Davis,2,-,-,-,-,-,,,,,
CUT,Nick Hardy,2,-,-,-,-,-,,,,,
CUT,Jeremy Paul,3,-,-,-,-,-,,,,,
CUT,David Skinns,3,-,-,-,-,-,,,,,
CUT,Rafael Campos,3,-,-,-,-,-,,,,,
CUT,Danny Walker,3,-,-,-,-,-,,,,,
CUT,Alejandro Tosti,3,-,-,-,-,-,,,,,
CUT,Max Homa,4,-,-,-,-,-,,,,,
CUT,Patrick Rodgers,4,-,-,-,-,-,,,,,
CUT,Brannon Fahrny,4,-,-,-,-,-,,,,,
CUT,Matt Kuchar,5,-,-,-,-,-,,,,,
CUT,Cooper Schultz,5,-,-,-,-,-,,,,,
CUT,Pierceson Coody,6,-,-,-,-,-,,,,,
CUT,Thomas Campbell,6,-,-,-,-,-,,,,,
CUT,Jeevan Sihota,6,-,-,-,-,-,,,,,
CUT,Peter Malnati,7,-,-,-,-,-,,,,,
CUT,Aaron Wise,7,-,-,-,-,-,,,,,
CUT,Kensei Hirata,8,-,-,-,-,-,,,,,
CUT,Brandt Snedeker,8,-,-,-,-,-,,,,,
CUT,Nicholas Lindheim,10,-,-,-,-,-,,,,,
WD,Patton Kizzire,-,-,-,-,-,-,,,,,
