POS,First Name,Last Name,Score,R2,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
1,Scottie,Scheffler,-16,-10,0.69,281.4,92.90%,1.69,88.90%,"22' 5""","26' 6""",4.87,-0.13,66.70%,7,2,7.11,2.24,2.38
2,Viktor,Hovland,-14,-9,1.17,293.9,78.60%,1.33,94.40%,"25' 1""","5' 3""",3.61,0,100.00%,4,0,6.11,2.5,2.51
T3,Akshay,Bhatia,-12,-8,0.96,288.2,92.90%,0.56,94.40%,"23' 11""",,2.52,1.08,100.00%,2,1,5.11,2.59,1.51
T3,Eric,Cole,-12,-5,-0.79,284.2,71.40%,1.55,77.80%,"19' 7""","48' 11""",1.36,-0.01,83.30%,3,4,2.11,0.75,0.76
T5,Bud,Cauley,-10,-4,0.1,283.6,71.40%,0.72,88.90%,"23' 2""","27' 5""",-0.35,0.64,50.00%,7,3,1.11,1.46,0.82
T5,Ben,Griffin,-10,-4,0.29,274.1,85.70%,1.14,94.40%,"30' 3""","19' 5""",-0.86,0.54,50.00%,2,1,1.11,1.97,1.44
T5,Matt,Fitzpatrick,-10,-4,0.69,274.3,100.00%,0.53,66.70%,"27' 8""",,-1.8,1.7,44.40%,7,7,1.11,2.91,1.21
T8,Brian,Campbell,-9,-7,0.26,273.6,92.90%,2.18,100.00%,"22' 11""","19' 4""",1.78,-0.11,0.00%,3,0,4.11,2.33,2.43
T8,J.J.,Spaun,-9,-5,0.31,274.7,85.70%,1.45,88.90%,"23' 0""",,1.42,-1.06,50.00%,3,2,2.11,0.69,1.75
T8,Justin,Rose,-9,-4,-0.46,279.9,64.30%,-1.2,77.80%,"23' 10""","120' 9""",1.64,1.12,80.00%,4,1,1.11,-0.53,-1.65
T8,Tommy,Fleetwood,-9,-6,0.02,278.6,78.60%,0.56,83.30%,"21' 1""","209' 7""",2.36,0.17,75.00%,5,0,3.11,0.76,0.58
T8,Patrick,Cantlay,-9,-4,0.72,283.7,85.70%,1.59,77.80%,"23' 1""","41' 3""",-0.27,-0.93,66.70%,3,1,1.11,1.38,2.3
T8,Maverick,McNealy,-9,-6,1.55,297.3,71.40%,-0.01,83.30%,"22' 3""","73' 3""",0.9,0.67,100.00%,3,0,3.11,2.21,1.54
T14,Kurt,Kitayama,-8,-7,-0.09,290.7,57.10%,4.55,88.90%,"12' 8""","77' 10""",-0.07,-0.28,0.00%,6,0,4.11,4.18,4.46
T14,Harris,English,-8,-4,-0.3,277.1,78.60%,1.7,94.40%,"19' 0""","48' 9""",-0.7,0.4,66.70%,2,2,1.11,1.81,1.4
