POS,PLAYER,THRU,R2,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Scottie Scheffler,-16,60,1.814,(4th),2.777,(6th),0.721,(27th),5.757,(3rd),11.069,(1st)
2,Viktor Hovland,-14,61,1.878,(3rd),3.379,(4th),-0.146,(36th),3.958,(8th),9.069,(2nd)
T3,Akshay Bhatia,-12,62,0.103,(38th),0.792,(25th),0.354,(31st),5.82,(2nd),7.069,(T3)
T3,Eric Cole,-12,65,-0.555,(49th),4.406,(2nd),1.463,(13th),1.755,(19th),7.069,(T3)
T5,Bud Cauley,-10,66,1.676,(7th),1.463,(20th),1.671,(5th),0.259,(31st),5.069,(T5)
T5,Ben Griffin,-10,66,-0.386,(47th),-0.412,(40th),1.348,(17th),4.519,(4th),5.069,(T5)
T5,Matt Fitzpatrick,-10,66,1.687,(6th),2.026,(15th),2.241,(4th),-0.885,(49th),5.069,(T5)
T8,Brian Campbell,-9,63,0.53,(T28),-0.597,(46th),-0.187,(37th),4.323,(5th),4.069,(T8)
T8,J.J. Spaun,-9,65,-0.114,(42nd),2.198,(12th),-0.353,(41st),2.338,(14th),4.069,(T8)
T8,Justin Rose,-9,66,-1.667,(68th),0.257,(34th),1.475,(12th),4.004,(7th),4.069,(T8)
T8,Tommy Fleetwood,-9,64,0.294,(35th),1.399,(21st),1.017,(24th),1.359,(20th),4.069,(T8)
T8,Patrick Cantlay,-9,66,1.886,(2nd),2.636,(7th),-0.727,(48th),0.274,(30th),4.069,(T8)
T8,Maverick McNealy,-9,64,1.151,(17th),1.754,(16th),1.359,(16th),-0.195,(40th),4.069,(T8)
T14,Kurt Kitayama,-8,63,NA,NA,5.901,(1st),-0.474,(42nd),-2.357,(58th),3.069,(T14)
T14,Harris English,-8,66,0.477,(31st),1.642,(18th),1.371,(15th),-0.421,(45th),3.069,(T14)
T14,Keegan Bradley,-8,65,-1.413,(60th),3.151,(5th),1.528,(10th),-0.197,(41st),3.069,(T14)
T14,Sam Burns,-8,66,1.627,(10th),2.344,(11th),-0.199,(38th),-0.703,(47th),3.069,(T14)
T14,Wyndham Clark,-8,64,-1.5,(64th),-0.37,(39th),2.864,(1st),2.075,(18th),3.069,(T14)
T14,Ben James,-8,64,1.462,(12th),-1.096,(49th),0.61,(28th),2.093,(17th),3.069,(T14)
T14,Robert MacIntyre,-8,65,0.329,(34th),0.787,(26th),1.334,(18th),0.619,(24th),3.069,(T14)
T14,Kristoffer Reitan,-8,68,1.978,(1st),-1.733,(55th),-0.858,(52nd),3.682,(10th),3.069,(T14)
T22,Corey Conners,-7,68,0.529,(T28),-0.065,(37th),2.649,(3rd),-1.044,(50th),2.069,(T22)
T22,Si Woo Kim,-7,64,0.794,(23rd),0.689,(28th),0.036,(34th),0.55,(25th),2.069,(T22)
T22,Shane Lowry,-7,65,1.645,(9th),1.327,(22nd),-0.743,(49th),-0.16,(38th),2.069,(T22)
T22,Nico Echavarria,-7,69,-0.162,(44th),2.487,(8th),1.179,(21st),-1.435,(53rd),2.069,(T22)
T22,Aaron Rai,-7,68,0.944,(21st),0.356,(32nd),1.329,(19th),-0.56,(46th),2.069,(T22)
T27,Taylor Pendrith,-6,67,-0.562,(50th),-0.435,(41st),-0.642,(45th),2.708,(12th),1.069,(T27)
T27,Sungjae Im,-6,66,1.475,(11th),0.543,(30th),-0.661,(47th),-0.288,(42nd),1.069,(T27)
T27,J.T. Poston,-6,67,1.143,(18th),-0.485,(42nd),1.524,(11th),-1.113,(51st),1.069,(T27)
T27,Brandt Snedeker,-6,69,0.692,(24th),-1.597,(53rd),-0.958,(57th),2.932,(11th),1.069,(T27)
T27,Hideki Matsuyama,-6,67,-0.135,(43rd),0.755,(27th),1.576,(8th),-1.127,(52nd),1.069,(T27)
T27,Justin Thomas,-6,66,1.312,(14th),-2.258,(61st),1.609,(6th),0.406,(27th),1.069,(T27)
T27,Jhonattan Vegas,-6,65,-0.882,(53rd),0.295,(33rd),1.604,(7th),0.052,(34th),1.069,(T27)
T34,Alex Noren,-5,66,-1.567,(65th),-3.272,(68th),-1.181,(60th),6.089,(1st),0.069,(T34)
T34,Rickie Fowler,-5,66,-0.348,(45th),-0.491,(43rd),0.873,(26th),0.035,(35th),0.069,(T34)
T34,Michael Kim,-5,67,-0.679,(51st),-0.78,(47th),1.397,(14th),0.131,(33rd),0.069,(T34)
T34,Keith Mitchell,-5,67,0.533,(27th),0.88,(23rd),-1.573,(65th),0.229,(32nd),0.069,(T34)
T34,Denny McCarthy,-5,68,-0.068,(41st),-0.493,(44th),-0.026,(35th),0.656,(23rd),0.069,(T34)
T34,Jackson Suber,-5,67,1.663,(8th),-2.586,(65th),1.006,(25th),-0.014,(36th),0.069,(T34)
T34,Alex Fitzpatrick,-5,66,1.041,(19th),2.438,(9th),-0.905,(56th),-2.505,(60th),0.069,(T34)
T34,Collin Morikawa,-5,66,1.34,(13th),2.395,(10th),-3.355,(71st),-0.311,(43rd),0.069,(T34)
T42,Chris Gotterup,-4,65,-1.258,(58th),-0.053,(36th),-1.87,(66th),2.25,(15th),-0.931,(T42)
T42,Mac Meissner,-4,66,0.407,(32nd),-1.635,(54th),1.074,(23rd),-0.777,(48th),-0.931,(T42)
T42,Ryan Gerard,-4,68,0.519,(30th),-2.835,(67th),1.544,(9th),-0.159,(37th),-0.931,(T42)
T42,Tony Finau,-4,66,-1.945,(69th),-0.287,(38th),-0.872,(53rd),2.173,(16th),-0.931,(T42)
T42,Russell Henley,-4,70,1.029,(20th),-2.439,(63rd),-3.687,(72nd),4.166,(6th),-0.931,(T42)
T42,Xander Schauffele,-4,69,0.007,(39th),-1.995,(59th),0.52,(30th),0.537,(26th),-0.931,(T42)
T42,Brian Harman,-4,70,-1.256,(57th),3.733,(3rd),-1.011,(58th),-2.397,(59th),-0.931,(T42)
T49,Alex Smalley,-3,66,-1.249,(55th),-2.256,(60th),1.229,(20th),0.345,(29th),-1.931,(T49)
T49,Daniel Berger,-3,67,-0.742,(52nd),0.62,(29th),2.853,(2nd),-4.662,(69th),-1.931,(T49)
T49,Tom Hoge,-3,70,-2.668,(70th),1.692,(17th),-0.787,(50th),-0.168,(39th),-1.931,(T49)
T49,Nicolai Højgaard,-3,66,0.287,(36th),-1.049,(48th),0.306,(32nd),-1.475,(54th),-1.931,(T49)
T49,Harry Hall,-3,70,-1.606,(67th),-3.652,(70th),-0.491,(44th),3.818,(9th),-1.931,(T49)
T49,Ludvig Åberg,-3,67,1.771,(5th),0.833,(24th),-0.216,(39th),-4.319,(68th),-1.931,(T49)
T55,Jason Day,-2,68,0.893,(22nd),-3.673,(71st),-0.883,(54th),0.732,(22nd),-2.931,(T55)
T55,Ryo Hisatsune,-2,70,-1.45,(61st),1.572,(19th),-1.187,(61st),-1.866,(56th),-2.931,(T55)
T57,Sam Stevens,-1,71,1.178,(16th),-3.49,(69th),-1.215,(62nd),-0.404,(44th),-3.931,(T57)
