POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD2
T55,J. Day,-2,4,4,4,5,2,5,4,4,3,35,4,3,5,4,3,3,3,4,4,33,68,-2
T55,R. Hisatsune,-2,4,4,4,4,3,4,4,2,4,33,4,3,5,6,4,4,3,4,4,37,70,E
T57,S. Stevens,-1,4,4,4,4,3,5,5,3,3,35,4,3,4,5,5,4,2,4,5,36,71,1
T57,A. Novak,-1,5,4,4,6,3,4,4,3,4,37,4,3,5,4,4,3,3,4,5,35,72,2
T57,M. McCarty,-1,4,3,4,4,5,4,3,2,4,33,5,3,4,6,4,4,3,4,4,37,70,E
T57,G. Woodland,-1,4,3,3,5,3,4,4,3,5,34,5,3,4,4,4,5,3,4,4,36,70,E
T57,N. Taylor,-1,4,4,4,4,3,6,4,3,6,38,3,3,4,6,3,4,3,3,4,33,71,1
T62,J. Bridgeman,E,3,5,3,5,3,4,4,3,4,34,4,2,4,5,4,4,3,4,6,36,70,E
T62,J. Spieth,E,5,4,4,4,3,4,4,3,4,35,4,3,5,4,4,3,3,4,4,34,69,-1
T62,M. Hubbard,E,4,4,4,5,3,5,4,3,4,36,3,3,4,6,4,4,3,4,4,35,71,1
T65,S. Theegala,1,3,4,4,5,4,5,4,3,3,35,4,2,5,4,3,4,2,4,4,32,67,-3
T65,M. Lee,1,4,5,4,4,3,4,4,3,4,35,5,3,4,6,4,5,3,4,4,38,73,3
T65,J. Knapp,1,3,4,3,5,3,4,4,3,5,34,4,3,4,5,4,3,2,5,3,33,67,-3
T68,A. Scott,2,5,3,4,4,3,5,4,3,3,34,5,3,4,4,4,5,3,5,4,37,71,1
T68,R. Fox,2,4,4,4,4,3,5,3,3,3,33,4,2,4,7,4,4,4,4,5,38,71,1
70,Cam. Young,3,5,4,4,5,4,4,4,3,4,37,4,3,4,4,4,3,3,4,5,34,71,1
71,L. Glover,4,4,4,3,4,3,5,3,3,4,33,4,3,4,6,4,4,2,4,5,36,69,-1
72,S. Straka,5,4,4,4,4,3,5,4,3,4,35,4,3,4,6,5,4,3,4,4,37,72,2
