player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Chatfield, Davis",15,0,0,0,40,33,-0.423041212,-0.027863939,-0.323648182,-0.197422727,-0.548934848,-0.87076275
"Schmidt, Ben",18,0,0,0,50,30,0.017200667,-0.484797333,-0.21194,-0.153483,-0.850220333,-0.878412
"Kern, Ben",1,0,0,0,4,4,0.3523875,-0.62082,-0.4717875,-0.1393525,-1.23196,-0.879575
"Clanton, Luke",14,0,0,0,43,37,-0.373327297,-0.27414027,0.194554054,-0.587287838,-0.666874054,-0.88203093
"Crocker, Sean",15,0,0,0,46,30,-0.623789,-0.263069,0.001951333,0.013894,-0.247223667,-0.886153043
"Lahiri, Anirban",10,0,0,0,38,36,-0.498783889,-0.060163056,-0.402412222,0.147976667,-0.314598611,-0.889397895
"Winther, Jeff",15,0,0,0,49,31,0.028546129,-0.049778387,-0.203653226,-0.759852581,-1.013284194,-0.891493878
"Law, David",18,0,0.004,0,56,26,-0.006536538,-0.403707308,-1.090591154,0.025842308,-1.468456154,-0.928454821
"Norgaard, Niklas",17,0,0,0,56,42,-0.003625714,-0.570429524,-0.194333571,0.249177143,-0.515585952,-0.933106607
"VanDerLaan, John",15,0,0,0,43,36,-0.267798056,-0.094058611,-0.610171667,-0.231185,-0.935415278,-0.939596744
"Tringale, Cameron",10,0,0,0,40,36,-0.110767778,-0.195837222,-0.019258611,-0.654185833,-0.869281667,-0.94794225
"Wolff, Matthew",9,0,0,0,36,36,-0.112125833,-0.392139167,-0.493509444,0.045502778,-0.840145833,-0.952271944
"Bautista, Austin",19,0,0,0,63,2,-1.399185,0.389155,-0.952145,0.041615,-0.521375,-0.970751587
"Kaymer, Martin",10,0,0,0,38,38,-0.030649737,-0.322457895,0.144236842,-0.763826842,-0.942047895,-0.972698684
"Kinhult, Marcus",15,0,0,0,50,30,-0.183072667,-0.042178,-0.452007667,0.015821,-0.478364667,-0.9851776
"Ramsay, Richie",13,0,0,0,36,28,0.276526071,-0.125755357,-0.407803214,-0.346491786,-0.880050357,-0.993405556
"Sterne, Richard",14,1,0.001,0,42,26,0.135003846,-0.107792308,-0.202513846,-0.160418077,-0.470724231,-1.018069762
"Lagergren, Joakim",17,0,0.001,0,52,36,0.213115833,-0.132255278,-0.815921944,0.026353611,-0.921823611,-1.0316075
"Campbell, Brian",19,0,0,0,54,52,0.148275962,-0.070318462,-0.399206346,-0.666289615,-1.135814423,-1.034247222
"Bairstow, Sam",17,0,0,0,54,32,-0.337109063,-0.327728438,-0.252192188,-0.09956875,-0.679489375,-1.035177778
"Bland, Richard",9,0,0,0,36,36,-0.506683889,0.042714167,0.107046667,-0.678681667,-0.528920833,-1.035605278
"Quayle, Anthony",18,0,0,0,50,22,0.333822727,-0.474087727,-0.647047727,-0.611076364,-1.732211818,-1.0452344
"Shipley, Neal",16,0,0,0,43,38,-0.524260526,-0.570922895,-0.523762895,0.673773947,-0.420911842,-1.048402093
"McDowell, Graeme",10,0,0,0,38,38,-0.163441316,-0.395118158,0.026321053,-0.518111053,-0.886908158,-1.050348947
"Meronk, Adrian",13,0,0,0,50,50,-0.1767742,-0.148399,-0.4673248,-0.2677002,-0.883424,-1.0601992
"Rumford, Brett",3,0,0,0,10,0,-9999,-9999,-9999,-9999,-9999,-1.061537
"Salinda, Isaiah",7,0,0,0,21,14,-0.445095714,-0.641231429,-0.242354286,0.543777143,-0.339808571,-1.063346667
"Schneider, Marcel",16,0,0,0,49,32,0.089018125,-0.085291875,-0.584593438,-0.349741875,-1.019627188,-1.08101898
"Hardy, Nick",15,0,0,0,42,16,-0.52299375,0.00280875,-0.504643125,-0.15973375,-0.661568125,-1.084867857
"Walker, Danny",16,0,0,0,49,42,-0.659384286,0.074182381,-0.218195476,-0.398345476,-0.542358571,-1.093064694
"Kang, Jeffrey",14,0,0,0,39,34,-0.346227353,0.034375,-0.058807059,-0.606776176,-0.631208235,-1.10215
"Masaveu, Luis",13,0,0,0,48,36,-0.184759444,-0.114094722,-0.547948056,-0.077691667,-0.739734444,-1.107249167
"Lombard, Zander",17,0,0.003,0,53,26,-0.174296538,-0.017360769,-1.276380769,-0.327042692,-1.620784231,-1.107623396
"Bjerregaard, Lucas",9,0,0,0,28,16,0.13760375,-0.064809375,-0.317130625,-0.77188125,-1.15382125,-1.13157
"Walker, Jimmy",2,0,0,0,4,4,-0.4986375,0.322835,-0.40375,-0.5524175,-0.6333325,-1.13197
"Garcia-Heredia, Alfredo",9,0,0,0,23,14,0.247847143,-0.049767143,-0.424941429,-0.50696,-0.981668571,-1.133981739
"Lemke, Niklas",10,0,0,0,30,18,-0.080797222,-0.187821667,-0.837777778,-0.204025556,-1.229625,-1.134753667
"Villegas, Camilo",14,0,0,0,43,24,-0.101077917,0.155400417,-0.267543333,-0.590176667,-0.702319583,-1.148133721
"Mazzoli, Stefano",17,0,0,0,50,26,0.290803077,0.108845769,-1.060361923,0.051008462,-0.900507692,-1.1794742
"Asaji, Yosuke",14,0,0,0,53,36,0.189757778,-0.023103611,-0.407554722,-0.794705,-1.225363333,-1.181105094
"Kaewkanjana, Sadom",15,0,0,0,48,26,0.066851923,-0.199105769,-0.601963846,-0.522381154,-1.323450769,-1.185820208
"Silverman, Ben",15,0,0,0,45,20,0.27276,-0.3385735,-0.2571175,-0.379697,-0.975388,-1.188894222
"Norlander, Henrik",10,0,0,0,30,11,-0.377941818,0.039264545,-0.148163636,-0.684461818,-0.793360909,-1.190793333
"Riley, Davis",17,0,0.002,0,50,43,0.440264419,-0.195310698,-0.62903814,-1.077080465,-1.901429302,-1.1917082
"Young, Daniel",17,0,0,0,51,26,-0.466158846,-0.201543462,-0.490833846,-0.403018077,-1.095395385,-1.200566471
"Jonsson, Tobias",18,0,0,0,56,28,-0.6541925,-0.192546786,-0.361297143,0.048575714,-0.505268214,-1.205314464
"Lee, Junghwan",17,0,0,0,53,26,0.174162692,-0.207097308,-0.803375769,-0.433351154,-1.443824231,-1.217294528
"Hoshino, Rikuya",17,0,0,0,54,40,0.22540275,-0.275814,-0.6230875,-0.480073,-1.3789745,-1.219792222
"Gumberg, Jordan",18,1,0.026,0,52,24,-1.32830125,-0.227960417,-0.559962917,0.520999583,-0.26692375,-1.223013654
"Highsmith, Joe",17,0,0,0,53,50,-0.414001,-0.1326708,-0.1979588,-0.4499134,-0.780543,-1.230120377
"Garcia Rodriguez, Sebastian",17,0,0,0,57,24,-0.539283333,-0.401077917,-1.008573333,0.142924167,-1.266727083,-1.233170526
"Fisher, Ross",16,0,0,0,52,34,-0.713102059,-0.487176176,-0.406848824,0.151883529,-0.742141471,-1.24033
"Girrbach, Joel",19,0,0,0,50,27,-1.239571852,-0.138806296,0.342816296,0.159187037,0.363197037,-1.2407566
"Hidalgo Portillo, Angel",20,0,0,0,64,42,-0.124997619,-0.35958619,-0.40685881,0.098852143,-0.667592857,-1.243962344
"Dantorp, Jens",15,0,0,0,45,30,0.096572333,-0.067914333,-0.325396667,-0.576576,-0.969887,-1.246203333
"Katsuragawa, Yuto",19,0,0,0,59,36,-0.384253056,-0.199083611,-0.648946667,-0.11371,-0.961740278,-1.262009492
"Lower, Justin",12,0,0,0,35,30,-0.317261667,-0.163748667,-0.712670333,-0.215631,-1.09205,-1.265286571
"Walker, Euan",16,0,0.001,0,44,24,-0.142209583,-0.077645833,-0.830157083,-0.574883333,-1.48268625,-1.289195227
"Adam, Cameron",18,0,0,0,58,28,0.227535714,-0.360398929,-0.223202857,-0.807235,-1.390836786,-1.292739138
"Morrison, James",17,0,0,0,57,32,0.055860625,0.157175625,-0.78281,-0.72912875,-1.354763125,-1.312520175
"Jamieson, Scott",16,0,0,0,48,30,-0.349950667,0.085229,-1.223051,-0.312708,-1.45053,-1.31495875
"Bergstrom, Albin",16,0,0,0,40,26,0.608061538,-0.197852308,-1.013949231,-0.2386,-1.450401538,-1.351048
"Baldwin, Matthew",17,0,0,0,51,26,-0.676506923,-0.272423462,-0.300613846,-0.047007692,-0.620045,-1.352125686
"Wise, Aaron",7,0,0,0,16,13,-0.300226923,0.263846923,-0.651715385,-0.782965385,-1.170833846,-1.361951875
"Willett, Danny",14,0,0.001,0,38,32,0.134288125,-0.04100375,-0.595601875,-0.638689375,-1.275295,-1.366915526
"Paratore, Renato",16,0,0,0,48,34,0.142367353,-0.074998824,-0.67747,-0.411852647,-1.164321471,-1.374335833
"Sharma, Shubhankar",16,1,0,0,46,18,-0.183378333,-0.254532222,-0.974445556,-0.71907,-1.948047778,-1.374746087
"Ogilvy, Geoff",3,0,0,0,10,2,-0.782685,-0.217355,-0.378715,0.04314,-0.55293,-1.374829
"Na, Kevin",5,0,0,0,16,6,-0.275945,-0.001035,-0.505388333,-0.652015,-1.158438333,-1.38042
"Rozo, Marcelo",15,0,0,0,37,30,-1.151039667,-0.325784667,0.045349333,-0.079431,-0.359866333,-1.416598108
"Premlall, Yurav",21,1,0.998,0,67,26,-0.393599231,-0.135764231,0.244223077,-0.711035769,-0.602576923,-1.417117313
"Cantero Gutierrez, Ivan",18,0,0,0,52,30,-0.322852,0.016364,-0.560513667,0.207689,-0.336460667,-1.421017692
