rank,player_name,tier,vts_final,nsi,vfs,vfs_base,vfs_links_d,vhn,form,birkdale_tag,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,links_signal,links_delta,ap_flags,form_class,badges,best_bet
104,Antoine Rozner,4,40.32,34.19,38.59,36.77,1.82,49.94,50.48,RoyalBirkdaleDebut,0.17,1.22,3.03,7.51,22.0,0.329,-0.138,-0.135,-0.136,0.4555,1.82,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
105,Jackson Suber,4,40.11,36.77,27.11,27.11,0.0,49.88,65.24,RoyalBirkdaleDebut,0.17,1.21,3.0,7.45,21.6,0.054,0.12,-0.035,-0.101,,0.0,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
106,Billy Horschel,4,40.0,34.84,45.33,44.58,0.75,35.12,47.96,BirkdaleHistoryThin,0.17,1.2,2.99,7.42,21.4,0.228,-0.258,-0.153,0.154,0.1886,0.75,1,NEUTRAL,Cut Sweat,Miss Cut
107,Aldrich Potgieter,4,39.95,35.48,30.45,32.98,-2.53,48.92,61.88,RoyalBirkdaleDebut,0.17,1.2,2.98,7.41,21.3,-0.037,0.465,-0.326,-0.182,-0.6313,-2.53,4,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
108,Francesco Laporta,4,39.58,28.39,47.72,48.69,-0.97,50.18,42.56,RoyalBirkdaleDebut,0.16,1.17,2.93,7.31,20.7,-0.221,0.212,0.024,-0.338,-0.2417,-0.97,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
109,Laurie Canter,4,39.2,27.74,39.55,38.9,0.64,55.04,53.24,BirkdaleHistoryThin,0.16,1.15,2.87,7.2,20.1,-0.038,0.422,-0.307,-0.414,0.1605,0.64,4,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
110,Jesper Svensson,4,38.32,33.55,29.56,28.77,0.8,49.34,57.56,RoyalBirkdaleDebut,0.15,1.09,2.76,6.97,18.7,-0.137,0.571,-0.165,-0.336,0.1996,0.8,4,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
111,Alistair Docherty,4,38.07,23.87,43.32,43.32,0.0,49.64,53.84,RoyalBirkdaleDebut,0.15,1.08,2.72,6.91,18.3,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
112,Cameron Smith,4,38.04,40.65,24.72,26.25,-1.53,38.58,57.2,BirkdaleHistoryThin,0.15,1.08,2.72,6.9,18.3,-0.237,-0.548,0.561,0.552,-0.382,-1.53,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
113,Bernd Wiesberger,4,37.97,29.03,37.12,41.27,-4.14,44.65,56.84,BirkdaleHistoryThin,0.15,1.07,2.71,6.88,18.2,0.059,-0.126,0.028,-0.57,-1.036,-4.14,1,NEUTRAL,Cut Sweat; Volatile Putter,Miss Cut
114,Kota Kaneko,4,37.95,32.9,29.62,34.68,-5.06,50.84,55.16,RoyalBirkdaleDebut,0.15,1.07,2.71,6.88,18.2,0.051,-0.441,0.006,0.548,-1.2644,-5.06,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
115,Austen Truslow,4,37.86,23.23,45.22,45.22,0.0,50.03,50.0,RoyalBirkdaleDebut,0.14,1.06,2.7,6.86,18.0,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
116,Kazuma Kobori,4,37.75,24.52,40.81,42.79,-1.99,50.96,53.72,RoyalBirkdaleDebut,0.14,1.06,2.68,6.83,17.9,-0.121,-0.345,-0.041,-0.078,-0.4968,-1.99,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
117,Shaun Norris,4,37.49,18.06,43.03,44.27,-1.24,50.71,65.0,BirkdaleHistoryThin,0.14,1.04,2.65,6.76,17.5,-0.548,-0.516,0.096,0.657,-0.3093,-1.24,1,WARM,Form Spike; Cut Sweat,Miss Cut
118,Adrien Saddier,4,36.04,29.68,33.75,36.71,-2.95,50.09,43.52,RoyalBirkdaleDebut,0.13,0.96,2.47,6.41,15.5,-0.083,0.174,0.008,-0.174,-0.7384,-2.95,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
119,Ryutaro Nagano,4,35.8,17.42,44.81,45.36,-0.55,50.09,52.52,RoyalBirkdaleDebut,0.12,0.95,2.44,6.35,15.2,0,0,0,0,-0.138,-0.55,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
120,Trav Smyth,4,35.65,21.29,42.03,46.6,-4.57,50.21,46.64,RoyalBirkdaleDebut,0.12,0.94,2.43,6.32,15.0,-0.178,-1.23,-0.03,0.332,-1.143,-4.57,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
121,Tim Wiedemeyer,4,35.33,14.84,45.22,45.22,0.0,50.03,55.52,RoyalBirkdaleDebut,0.12,0.92,2.39,6.24,14.6,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
122,Matthew Jordan,4,35.06,26.45,31.81,31.47,0.35,50.09,49.52,RoyalBirkdaleDebut,0.12,0.91,2.36,6.18,14.3,-0.335,-0.299,0.113,-0.257,0.0865,0.35,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
123,Joe Dean,4,34.81,19.35,35.07,35.95,-0.88,46.38,63.92,BirkdaleHistoryThin,0.12,0.89,2.33,6.12,14.0,-0.748,-0.324,0.163,0.15,-0.2208,-0.88,1,WARM,Form Spike; Cut Sweat,Miss Cut
124,Kazuki Higa,4,34.63,20.65,37.78,43.46,-5.68,50.6,49.64,RoyalBirkdaleDebut,0.11,0.88,2.31,6.08,13.7,0.571,-0.11,-0.54,-0.397,-1.42,-5.68,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
125,Joakim Lagergren,4,34.41,27.1,29.99,31.89,-1.9,49.82,47.36,RoyalBirkdaleDebut,0.11,0.87,2.29,6.03,13.5,-0.267,-0.069,-0.192,0.249,-0.4739,-1.9,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
126,Martin Couvra,4,34.01,25.81,31.27,34.91,-3.65,50.15,45.2,RoyalBirkdaleDebut,0.11,0.85,2.25,5.94,13.0,-0.234,-0.039,-0.103,-0.325,-0.9123,-3.65,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
127,Cameron John,4,33.69,12.9,45.15,44.64,0.51,49.76,50.12,RoyalBirkdaleDebut,0.11,0.84,2.21,5.87,12.7,0,0,0,0,0.1264,0.51,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
128,Caleb Surratt,4,33.56,30.32,25.67,23.74,1.94,49.61,41.96,RoyalBirkdaleDebut,0.11,0.83,2.2,5.85,12.5,-0.686,0.104,-0.226,0.446,0.4839,1.94,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
129,Frederic LaCroix,4,33.45,21.94,33.31,39.27,-5.96,50.03,47.84,RoyalBirkdaleDebut,0.11,0.83,2.19,5.82,12.4,-0.061,0.036,-0.207,-0.45,-1.4898,-5.96,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
130,Michael Hollick,4,33.21,16.13,34.42,42.42,-8.0,50.45,59.12,RoyalBirkdaleDebut,0.1,0.82,2.16,5.77,12.1,0.133,-0.351,0.146,-0.374,-2.7296,-8.0,1,WARM,Debut Watch; Cut Sweat,Miss Cut
131,Stuart Grehan,4,33.06,9.68,45.81,45.81,0.0,50.3,52.64,RoyalBirkdaleDebut,0.1,0.81,2.15,5.74,12.0,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
132,MJ Daffue,4,33.01,15.48,34.38,36.6,-2.22,49.58,60.44,RoyalBirkdaleDebut,0.1,0.81,2.14,5.73,11.9,-1.092,0.364,-0.012,-0.257,-0.5545,-2.22,2,WARM,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
133,Padraig Harrington,5,32.73,12.26,23.43,25.37,-1.94,75.36,63.32,BirkdaleHistoryThin,0.1,0.79,2.11,5.67,11.6,0.143,-0.987,0.178,-0.677,-0.4853,-1.94,2,WARM,Course Horse; Form Spike; Cut Sweat; Anti-Pattern,Miss Cut
134,Alejandro De Castro Piera,5,32.57,6.45,45.81,45.81,0.0,50.3,58.04,RoyalBirkdaleDebut,0.1,0.79,2.1,5.64,11.5,0,0,0,0,,0.0,0,WARM,Debut Watch; Cut Sweat,Miss Cut
135,Darren Clarke,5,32.38,5.16,51.99,53.56,-1.57,40.32,57.8,BirkdaleHistoryThin,0.1,0.78,2.08,5.6,11.3,-0.555,0.241,0.762,-2.202,-0.3933,-1.57,2,NEUTRAL,Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
136,Baard Skogen,5,32.24,7.1,45.62,45.62,0.0,50.21,54.56,RoyalBirkdaleDebut,0.1,0.77,2.06,5.57,11.1,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
137,Jiho Yang,5,32.18,1.94,45.88,45.88,0.0,50.33,67.28,RoyalBirkdaleDebut,0.1,0.77,2.06,5.56,11.1,0,0,0,0,,0.0,0,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
138,James Nicholas,5,31.88,20.0,29.83,34.16,-4.33,49.67,49.88,RoyalBirkdaleDebut,0.09,0.76,2.03,5.49,10.8,-1.25,-0.259,0.022,0.828,-1.0825,-4.33,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
139,Jack McDonald,5,31.16,13.55,44.47,46.27,-1.81,50.51,32.18,RoyalBirkdaleDebut,0.09,0.73,1.96,5.35,10.1,0,0,0,0,-0.4515,-1.81,0,COOL,Form Cold; Debut Watch; Cut Sweat,Miss Cut
140,Marcus Plunkett,5,31.16,11.61,39.12,39.12,0.0,49.64,48.92,RoyalBirkdaleDebut,0.09,0.73,1.96,5.35,10.1,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
141,Jeong Woo Ham,5,31.03,14.19,37.13,39.09,-1.96,50.51,44.24,RoyalBirkdaleDebut,0.09,0.72,1.95,5.32,10.0,-0.906,-0.626,-0.014,0.807,-0.4888,-1.96,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
142,Jack Buchanan,5,30.8,4.52,45.82,45.82,0.0,50.3,51.32,RoyalBirkdaleDebut,0.09,0.71,1.93,5.28,9.8,0,0,0,0,,0.0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
143,Peter Uihlein,5,30.48,25.16,20.57,21.76,-1.19,52.44,42.56,BirkdaleHistoryThin,0.09,0.7,1.9,5.22,9.5,-0.179,-1.206,0.153,0.613,-0.2976,-1.19,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
144,Sam Bairstow,5,30.27,16.77,30.04,36.15,-6.11,49.85,47.12,RoyalBirkdaleDebut,0.08,0.69,1.88,5.18,9.3,-0.392,-0.012,-0.221,-0.215,-1.5275,-6.11,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
145,David Howard,5,30.24,0.0,46.47,46.47,0.0,50.6,58.05,RoyalBirkdaleDebut,0.08,0.69,1.88,5.17,9.3,0,0,0,0,,0.0,0,WARM,Debut Watch; Cut Sweat,Miss Cut
146,Matthew Baldwin,5,29.09,10.32,33.75,34.19,-0.44,50.48,48.44,RoyalBirkdaleDebut,0.08,0.64,1.78,4.95,8.4,-0.712,-0.081,-0.416,-0.488,-0.1108,-0.44,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
147,Tiger Christensen,5,28.62,3.87,41.06,44.51,-3.45,49.7,48.68,RoyalBirkdaleDebut,0.07,0.63,1.74,4.87,8.0,0,0,0,0,-0.8616,-3.45,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
148,Matthew Southgate,5,28.42,5.81,25.5,29.24,-3.74,64.57,58.4,BirkdaleHistoryThin,0.07,0.62,1.72,4.83,7.9,-0.377,-0.069,-0.72,-1.139,-0.934,-3.74,3,WARM,Cut Sweat; Anti-Pattern,Miss Cut
149,Nevill Ruiter,5,27.65,3.23,32.33,32.33,0.0,49.52,61.52,RoyalBirkdaleDebut,0.07,0.59,1.66,4.7,7.3,0.082,0.324,-0.548,-1.671,,0.0,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
150,Lev Grinberg,5,26.89,10.97,21.21,21.21,0.0,49.91,57.68,RoyalBirkdaleDebut,0.07,0.57,1.6,4.57,6.8,-1.284,-0.652,-0.604,-0.163,,0.0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
151,David Duval,5,26.63,0.65,38.4,46.4,-8.0,43.02,56.0,BirkdaleHistoryThin,0.06,0.56,1.58,4.52,6.7,0,0,0,0,-2.36,-8.0,0,NEUTRAL,Cut Sweat,Miss Cut
152,Naoyuki Kataoka,5,25.69,9.03,24.99,24.99,0.0,50.36,46.88,RoyalBirkdaleDebut,0.06,0.53,1.51,4.37,6.1,-2.9,-1.0,-1.693,0.249,,0.0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
153,Fifa Laopakdee,5,24.35,8.39,24.54,24.54,0.0,49.76,41.12,RoyalBirkdaleDebut,0.05,0.49,1.42,4.16,5.4,-1.192,-1.948,-0.501,0.297,,0.0,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
154,Mason Howell,5,23.86,7.74,21.23,21.23,0.0,49.67,46.28,RoyalBirkdaleDebut,0.05,0.48,1.38,4.08,5.1,-1.094,0.243,-0.877,-0.697,,0.0,4,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
155,Mateo Pulcini,5,22.65,2.58,17.96,17.96,0.0,49.94,58.28,RoyalBirkdaleDebut,0.05,0.45,1.31,3.9,4.6,-0.693,-0.722,-1.239,-1.436,,0.0,3,WARM,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
156,Tom Sloman,5,20.95,1.29,20.2,19.47,0.73,49.94,45.92,RoyalBirkdaleDebut,0.04,0.4,1.21,3.66,3.9,-2.853,-0.332,-1.285,-0.408,0.182,0.73,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
