rank,player_name,tier,vts_final,nsi,vfs,vfs_base,vfs_links_d,vhn,form,birkdale_tag,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,links_signal,links_delta,ap_flags,form_class,badges,best_bet
23,Harris English,2,68.55,85.81,64.3,61.92,2.37,49.91,49.64,RoyalBirkdaleDebut,1.29,6.15,11.63,21.36,82.6,0.081,0.41,0.181,0.668,0.5937,2.37,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Make Cut
24,Akshay Bhatia,2,67.34,85.16,61.76,61.9,-0.14,49.97,48.32,RoyalBirkdaleDebut,1.18,5.74,10.98,20.43,80.8,0.65,0.043,0.165,0.537,-0.0356,-0.14,0,NEUTRAL,Elite NSI; Debut Watch,Make Cut
25,Joaquin Niemann,2,66.78,70.32,73.39,71.85,1.54,49.4,61.52,RoyalBirkdaleDebut,1.14,5.55,10.69,20.01,79.9,0.422,0.699,0.037,-0.113,0.3853,1.54,0,WARM,Iron Edge; Form Spike; Debut Watch,Make Cut
26,Rickie Fowler,2,66.5,84.52,60.95,61.95,-1.0,59.37,36.68,BirkdaleHistoryThin,1.12,5.47,10.55,19.8,79.4,0.334,0.435,0.05,0.406,-0.251,-1.0,1,COOL,Form Cold; Fragile Favorite,Make Cut
27,Shane Lowry,2,65.92,81.29,67.61,65.09,2.52,37.72,49.76,BirkdaleHistoryThin,1.07,5.29,10.26,19.38,78.4,0.878,0.147,-0.027,0.124,0.631,2.52,0,NEUTRAL,Iron Edge,Make Cut
28,Alex Noren,2,65.72,82.58,53.8,54.2,-0.4,68.62,41.72,BirkdaleHistoryThin,1.05,5.23,10.16,19.24,78.1,0.283,0.065,0.13,0.817,-0.1003,-0.4,1,COOL,Course Horse; Form Cold; Fragile Favorite,Make Cut
29,Min Woo Lee,2,65.52,81.94,59.68,54.92,4.77,49.31,49.64,RoyalBirkdaleDebut,1.04,5.17,10.07,19.1,77.8,0.051,0.574,0.313,0.178,1.1922,4.77,0,NEUTRAL,Debut Watch,Make Cut
30,Jacob Bridgeman,2,65.27,77.42,63.7,65.64,-1.94,49.94,51.32,RoyalBirkdaleDebut,1.02,5.1,9.95,18.92,77.3,0.306,0.18,0.07,0.449,-0.4852,-1.94,0,NEUTRAL,Debut Watch,Make Cut
31,Adam Scott,2,65.14,74.19,64.53,62.57,1.97,65.92,41.48,BirkdaleHistoryThin,1.01,5.06,9.89,18.83,77.1,0.701,0.269,0.01,-0.149,0.4916,1.97,1,COOL,Course Horse; Form Cold; Fragile Favorite,Make Cut
32,Ben Griffin,2,64.99,88.39,46.26,46.06,0.2,49.91,55.16,RoyalBirkdaleDebut,1.0,5.01,9.82,18.73,76.8,0.265,0.029,0.422,0.604,0.0498,0.2,2,NEUTRAL,Elite NSI; Debut Watch; Fragile Favorite,Make Cut
33,Ryan Gerard,2,64.88,78.06,58.21,57.78,0.44,49.91,58.04,RoyalBirkdaleDebut,0.99,4.98,9.76,18.65,76.6,0.54,0.2,-0.097,0.047,0.1088,0.44,1,WARM,Debut Watch; Fragile Favorite,Make Cut
34,Nicolai Hojgaard,2,64.68,80.0,61.68,56.91,4.77,49.19,45.32,RoyalBirkdaleDebut,0.98,4.93,9.67,18.51,76.3,0.532,0.4,0.058,0.062,1.1917,4.77,0,NEUTRAL,Debut Watch,Make Cut
35,Jake Knapp,2,64.06,87.1,52.11,51.52,0.59,49.37,41.24,RoyalBirkdaleDebut,0.94,4.76,9.39,18.09,75.1,0.149,0.574,-0.146,0.735,0.1485,0.59,2,COOL,Elite NSI; Form Cold; Debut Watch; Fragile Favorite,Make Cut
36,Patrick Reed,2,64.02,72.9,68.65,65.82,2.83,40.32,54.8,BirkdaleHistoryThin,0.93,4.74,9.37,18.06,75.1,0.588,0.045,0.291,0.146,0.707,2.83,0,NEUTRAL,Iron Edge,Make Cut
37,Keegan Bradley,2,63.59,78.71,54.6,53.86,0.74,49.7,55.16,RoyalBirkdaleDebut,0.91,4.63,9.18,17.78,74.2,0.189,0.276,0.377,0.105,0.1846,0.74,0,NEUTRAL,Debut Watch,Make Cut
38,Nick Taylor,3,63.19,73.55,64.43,61.12,3.31,50.24,46.04,RoyalBirkdaleDebut,0.88,4.52,9.01,17.52,73.5,0.317,0.01,0.311,0.231,0.8282,3.31,0,NEUTRAL,Iron Edge; Debut Watch,Make Cut
39,Maverick McNealy,3,63.13,87.74,51.44,49.46,1.98,35.12,48.92,BirkdaleHistoryThin,0.88,4.51,8.98,17.48,73.4,0.196,0.289,0.324,0.573,0.4951,1.98,1,NEUTRAL,Elite NSI,Make Cut
40,Keith Mitchell,3,63.02,72.26,61.02,60.43,0.6,49.55,55.88,RoyalBirkdaleDebut,0.87,4.48,8.94,17.41,73.1,0.201,0.676,-0.014,-0.07,0.1491,0.6,0,NEUTRAL,Debut Watch,Make Cut
41,Tyrrell Hatton,3,62.26,75.48,58.6,55.13,3.47,36.85,59.72,BirkdaleHistoryThin,0.82,4.29,8.62,16.92,71.6,0.524,0.184,0.044,0.072,0.8685,3.47,0,WARM,,Pass
42,Corey Conners,3,62.1,63.87,74.25,72.31,1.94,50.09,45.08,RoyalBirkdaleDebut,0.81,4.25,8.55,16.82,71.3,0.599,0.211,0.004,-0.211,0.4857,1.94,1,NEUTRAL,Iron Edge; Debut Watch,Pass
43,J.T. Poston,3,61.1,69.03,58.47,57.97,0.5,50.18,56.12,RoyalBirkdaleDebut,0.76,4.02,8.16,16.21,69.2,0.212,0.284,-0.063,0.216,0.1249,0.5,0,NEUTRAL,Debut Watch,Pass
44,Tom Kim,3,60.91,58.71,66.92,59.08,7.84,50.09,65.6,RoyalBirkdaleDebut,0.75,3.97,8.08,16.1,68.8,0.496,-0.1,0.213,-0.023,1.9593,7.84,0,WARM,Iron Edge; Form Spike; Debut Watch,Pass
45,Bryson DeChambeau,3,60.45,80.65,53.76,54.49,-0.73,34.25,46.16,BirkdaleHistoryThin,0.72,3.87,7.91,15.83,67.8,0.187,0.948,-0.291,0.198,-0.1827,-0.73,1,NEUTRAL,,Pass
46,Kristoffer Reitan,3,60.01,74.84,50.1,48.31,1.79,49.58,50.72,RoyalBirkdaleDebut,0.7,3.77,7.74,15.57,66.8,0.085,0.655,-0.19,0.287,0.4475,1.79,2,NEUTRAL,Debut Watch; Anti-Pattern,Pass
47,Alex Smalley,3,59.86,71.61,52.73,51.21,1.52,49.88,52.76,RoyalBirkdaleDebut,0.69,3.74,7.69,15.49,66.5,0.347,0.214,-0.068,0.159,0.3796,1.52,0,NEUTRAL,Debut Watch,Pass
48,Alex Fitzpatrick,3,59.54,61.29,60.75,61.9,-1.15,49.97,62.0,RoyalBirkdaleDebut,0.68,3.67,7.57,15.3,65.8,0.333,0.172,0.176,0.017,-0.2871,-1.15,0,WARM,Form Spike; Debut Watch,Pass
49,Justin Thomas,3,59.52,79.35,42.36,40.47,1.89,42.91,57.56,BirkdaleHistoryThin,0.68,3.67,7.56,15.29,65.7,0.15,0.19,0.578,0.16,0.4731,1.89,2,NEUTRAL,Anti-Pattern,Pass
50,Gary Woodland,3,58.7,67.1,57.46,57.17,0.29,46.38,51.08,BirkdaleHistoryThin,0.64,3.5,7.28,14.83,63.9,0.323,0.646,-0.356,0.32,0.0725,0.29,1,NEUTRAL,,Pass
51,Brian Harman,3,58.63,66.45,59.7,57.32,2.38,40.32,53.96,BirkdaleHistoryThin,0.64,3.49,7.25,14.8,63.7,0.393,-0.041,0.183,0.159,0.5959,2.38,0,NEUTRAL,,Pass
52,Bud Cauley,3,58.46,60.0,61.16,66.11,-4.95,49.97,57.44,RoyalBirkdaleDebut,0.63,3.45,7.19,14.7,63.3,0.39,0.164,0.267,-0.228,-1.2377,-4.95,1,NEUTRAL,Debut Watch,Pass
53,Jordan Spieth,3,58.16,70.32,44.85,40.56,4.29,68.9,41.6,BirkdaleHistoryThin,0.61,3.39,7.09,14.54,62.6,0.241,0.24,0.08,0.162,1.0718,4.29,2,COOL,Form Cold; Anti-Pattern,Pass
54,Matt McCarty,3,57.33,68.39,53.96,51.56,2.41,50.21,41.72,RoyalBirkdaleDebut,0.58,3.24,6.82,14.1,60.7,0.206,0.08,-0.045,0.334,0.6022,2.41,0,COOL,Form Cold; Debut Watch,Pass
55,Michael Thorbjornsen,3,56.85,67.74,50.24,45.57,4.67,49.55,48.32,RoyalBirkdaleDebut,0.56,3.15,6.66,13.85,59.5,0.022,0.454,0.186,-0.185,1.1672,4.67,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Pass
56,Angel Ayora,3,56.68,65.81,53.56,51.81,1.75,49.46,45.8,RoyalBirkdaleDebut,0.55,3.12,6.61,13.76,59.1,0.205,0.625,-0.082,-0.041,0.4383,1.75,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
57,Jayden Schaper,3,55.57,62.58,57.4,57.03,0.38,50.3,38.48,RoyalBirkdaleDebut,0.51,2.93,6.27,13.21,56.4,-0.072,0.221,0.132,0.077,0.0942,0.38,1,COOL,Form Cold; Debut Watch; Cut Sweat,Pass
58,Daniel Berger,3,55.56,51.61,63.37,62.55,0.82,56.77,49.28,BirkdaleHistoryThin,0.51,2.93,6.26,13.21,56.4,0.677,0.198,-0.279,-0.18,0.2039,0.82,2,NEUTRAL,Cut Sweat; Anti-Pattern,Pass
59,Jordan Smith,3,55.25,54.19,64.48,60.58,3.9,49.79,45.08,RoyalBirkdaleDebut,0.5,2.87,6.17,13.05,55.6,0.346,0.382,-0.011,-0.31,0.9759,3.9,1,NEUTRAL,Iron Edge; Debut Watch; Cut Sweat,Pass
60,Eric Cole,3,54.37,61.94,46.13,47.8,-1.67,50.09,54.92,RoyalBirkdaleDebut,0.47,2.73,5.92,12.64,53.4,0.302,-0.523,0.319,0.486,-0.418,-1.67,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
61,David Puig,3,54.37,69.68,39.6,38.56,1.04,49.25,48.2,RoyalBirkdaleDebut,0.47,2.73,5.92,12.64,53.4,-0.307,0.629,0.006,0.587,0.2598,1.04,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Pass
62,Sepp Straka,3,54.37,60.65,60.18,56.44,3.75,50.06,30.32,RoyalBirkdaleDebut,0.47,2.73,5.92,12.64,53.4,0.502,0.169,-0.019,0.056,0.9367,3.75,0,COLD,Form Cold; Debut Watch; Cut Sweat,Pass
63,Jason Day,3,54.05,65.16,43.91,39.17,4.74,56.77,41.96,BirkdaleHistoryThin,0.46,2.68,5.83,12.49,52.6,-0.276,0.136,0.562,0.259,1.1851,4.74,2,COOL,Form Cold; Cut Sweat; Anti-Pattern,Pass
64,Harry Hall,3,54.0,76.13,35.27,34.81,0.46,50.03,36.44,RoyalBirkdaleDebut,0.46,2.68,5.82,12.46,52.5,0.052,-0.178,0.396,0.664,0.1153,0.46,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Pass
65,Matt Wallace,3,53.63,53.55,55.07,55.23,-0.16,50.03,54.56,RoyalBirkdaleDebut,0.44,2.62,5.71,12.29,51.6,0.445,-0.149,0.16,0.055,-0.0394,-0.16,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
66,Johnny Keefer,3,53.59,44.52,63.3,58.23,5.07,49.49,62.48,RoyalBirkdaleDebut,0.44,2.61,5.7,12.28,51.5,0.444,0.505,-0.352,-0.417,1.2672,5.07,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Pass
67,John Parry,3,52.47,50.32,64.41,65.37,-0.96,50.33,36.44,RoyalBirkdaleDebut,0.41,2.45,5.41,11.78,48.7,0.318,0.058,0.053,-0.274,-0.2403,-0.96,1,COOL,Iron Edge; Form Cold; Debut Watch; Cut Sweat,Pass
68,Sahith Theegala,3,52.41,63.23,39.92,40.52,-0.6,49.76,51.2,RoyalBirkdaleDebut,0.41,2.44,5.39,11.75,48.5,0.223,0.004,0.276,0.022,-0.1496,-0.6,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
69,Nico Echavarria,3,51.64,50.97,50.22,47.85,2.38,50.21,57.68,RoyalBirkdaleDebut,0.39,2.34,5.2,11.42,46.6,0.123,-0.072,-0.12,0.249,0.5939,2.38,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
70,Daniel Hillier,3,51.45,56.13,50.92,53.9,-2.98,49.64,41.84,RoyalBirkdaleDebut,0.38,2.31,5.15,11.34,46.1,0.251,0.367,-0.397,0.186,-0.7441,-2.98,1,COOL,Form Cold; Debut Watch; Cut Sweat,Pass
71,Max Homa,3,51.24,59.35,41.09,39.86,1.22,49.82,51.32,RoyalBirkdaleDebut,0.38,2.29,5.1,11.25,45.6,0.132,0.145,0.015,0.345,0.3062,1.22,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
72,Rasmus Neergaard-Petersen,3,50.91,47.74,55.53,53.68,1.85,49.82,51.2,RoyalBirkdaleDebut,0.37,2.24,5.02,11.12,44.8,0.178,0.479,-0.199,-0.046,0.4616,1.85,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
73,Victor Perez,3,50.5,48.39,48.91,43.82,5.08,49.94,59.84,RoyalBirkdaleDebut,0.36,2.19,4.92,10.95,43.8,0.043,0.229,-0.055,0.139,1.2711,5.08,1,WARM,Debut Watch; Cut Sweat,Miss Cut
74,Pierceson Coody,3,50.4,57.42,41.97,44.63,-2.66,49.43,49.52,RoyalBirkdaleDebut,0.35,2.18,4.9,10.91,43.5,0.221,0.627,-0.201,0.062,-0.6644,-2.66,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
75,Thomas Detry,3,50.35,54.84,46.71,47.24,-0.53,49.73,46.28,RoyalBirkdaleDebut,0.35,2.17,4.89,10.89,43.4,0.056,0.124,-0.021,0.305,-0.1326,-0.53,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
76,Rasmus Hojgaard,3,50.35,64.52,38.6,37.21,1.4,49.28,37.16,RoyalBirkdaleDebut,0.35,2.17,4.89,10.89,43.4,0.087,0.272,-0.187,0.556,0.3491,1.4,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
77,Sam Stevens,3,50.24,52.26,50.18,53.16,-2.98,49.67,45.56,RoyalBirkdaleDebut,0.35,2.16,4.86,10.84,43.1,0.1,0.467,0.035,-0.202,-0.7449,-2.98,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
78,Tom McKibbin,3,50.03,49.68,51.08,50.38,0.7,49.76,49.16,RoyalBirkdaleDebut,0.34,2.13,4.81,10.76,42.6,-0.026,0.443,0.024,-0.232,0.1743,0.7,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
79,Michael Kim,3,50.01,58.06,39.93,38.97,0.96,50.06,48.68,RoyalBirkdaleDebut,0.34,2.13,4.81,10.75,42.6,0.351,-0.182,0.043,0.346,0.2399,0.96,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
80,Sami Valimaki,3,49.14,49.03,48.96,48.55,0.42,50.24,48.68,RoyalBirkdaleDebut,0.32,2.03,4.61,10.41,40.5,0.409,-0.164,-0.291,0.421,0.1047,0.42,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
81,Brooks Koepka,3,48.17,43.87,41.6,39.37,2.24,64.57,56.36,BirkdaleHistoryThin,0.3,1.92,4.41,10.04,38.2,0.235,0.167,-0.01,-0.278,0.5593,2.24,1,NEUTRAL,Cut Sweat; Volatile Putter,Miss Cut
82,Ryan Fox,3,48.02,55.48,33.55,31.77,1.78,48.98,56.12,BirkdaleHistoryThin,0.3,1.9,4.37,9.99,37.8,0.222,0.191,0.066,0.024,0.4455,1.78,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
83,Michael Brennan,4,47.91,52.9,39.17,38.91,0.27,49.13,50.84,RoyalBirkdaleDebut,0.3,1.89,4.35,9.95,37.5,0.126,0.881,-0.373,-0.278,0.0672,0.27,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
84,Eugenio Chacarra,4,46.99,43.23,41.36,42.8,-1.44,49.64,65.6,RoyalBirkdaleDebut,0.28,1.79,4.17,9.61,35.4,-0.053,0.141,-0.004,-0.014,-0.3607,-1.44,1,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
85,Francesco Molinari,4,46.92,31.61,66.23,63.33,2.89,42.91,53.12,BirkdaleHistoryThin,0.28,1.79,4.15,9.59,35.3,0.267,0.055,0.016,-0.823,0.7232,2.89,1,NEUTRAL,Iron Edge; Cut Sweat,Miss Cut
86,Andrew Novak,4,46.9,45.16,47.79,47.0,0.79,49.91,46.76,RoyalBirkdaleDebut,0.28,1.78,4.15,9.58,35.2,0.175,0.107,0.131,-0.242,0.1984,0.79,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
87,Ryo Hisatsune,4,46.83,46.45,44.63,51.45,-6.82,49.91,49.16,RoyalBirkdaleDebut,0.27,1.78,4.13,9.56,35.0,0.302,0.429,-0.028,-0.183,-1.705,-6.82,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
88,Hennie Du Plessis,4,46.49,47.1,45.16,46.09,-0.93,49.64,44.36,RoyalBirkdaleDebut,0.27,1.74,4.07,9.44,34.3,0.184,0.343,0.009,-0.585,-0.2314,-0.93,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
89,Lucas Herbert,4,45.88,38.71,50.95,50.74,0.21,49.76,50.96,RoyalBirkdaleDebut,0.26,1.68,3.95,9.23,32.9,0.152,0.16,0.014,-0.167,0.052,0.21,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
90,Marco Penge,4,45.78,56.77,33.54,30.84,2.7,49.1,37.64,RoyalBirkdaleDebut,0.25,1.67,3.93,9.19,32.7,0.032,0.85,-0.208,-0.065,0.6743,2.7,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
91,Keita Nakajima,4,45.48,41.29,41.07,37.14,3.93,49.94,61.04,RoyalBirkdaleDebut,0.25,1.64,3.88,9.09,32.0,0.127,0.058,-0.239,0.374,0.9821,3.93,3,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
92,Scott Vincent,4,45.41,41.94,38.57,39.35,-0.78,50.06,63.68,RoyalBirkdaleDebut,0.25,1.64,3.86,9.07,31.9,-0.174,-0.115,-0.017,1.172,-0.1948,-0.78,1,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
93,Haotong Li,4,45.01,38.06,45.79,48.26,-2.47,68.04,38.96,BirkdaleHistoryThin,0.24,1.6,3.79,8.93,31.0,0.224,0.374,-0.301,-0.116,-0.6171,-2.47,1,COOL,Form Cold; Cut Sweat,Miss Cut
94,Henrik Stenson,4,44.49,18.71,70.33,68.97,1.36,71.31,34.76,BirkdaleHistoryThin,0.23,1.55,3.7,8.76,29.9,0.369,0.145,-0.285,-0.74,0.3409,1.36,2,COOL,Course Horse; Form Cold; Cut Sweat; Anti-Pattern,Miss Cut
95,Ren Yonezawa,4,43.95,22.58,65.21,65.21,0.0,50.42,51.92,RoyalBirkdaleDebut,0.22,1.51,3.6,8.59,28.8,0.809,0.144,0.717,-0.828,,0.0,1,NEUTRAL,Iron Edge; Debut Watch; Cut Sweat,Miss Cut
96,Stewart Cink,4,42.86,36.13,51.45,52.32,-0.87,33.59,52.88,BirkdaleHistoryThin,0.21,1.42,3.42,8.25,26.6,-1.515,0.105,0.223,0.464,-0.2183,-0.87,1,NEUTRAL,Cut Sweat; Volatile Putter,Miss Cut
97,Casey Jarvis,4,42.5,39.35,39.89,39.71,0.18,50.15,48.44,RoyalBirkdaleDebut,0.2,1.39,3.36,8.14,25.9,0.08,-0.041,-0.414,0.071,0.0442,0.18,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
98,Dan Brown,4,41.45,37.42,41.66,40.99,0.67,50.3,42.92,RoyalBirkdaleDebut,0.19,1.31,3.2,7.83,24.0,0.468,0.044,-0.198,-0.191,0.1671,0.67,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
99,Dan Bradbury,4,41.37,30.97,50.33,54.36,-4.03,50.09,42.44,RoyalBirkdaleDebut,0.19,1.3,3.19,7.81,23.8,0.652,0.181,-0.424,-0.339,-1.0086,-4.03,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
100,Sungjae Im,4,41.06,40.0,36.28,37.97,-1.7,50.03,44.48,RoyalBirkdaleDebut,0.18,1.28,3.14,7.72,23.3,-0.567,0.23,0.462,0.112,-0.4239,-1.7,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
101,Max Greyserman,4,41.0,42.58,29.81,27.84,1.97,49.58,50.6,RoyalBirkdaleDebut,0.18,1.27,3.13,7.7,23.1,-0.114,-0.117,0.148,0.054,0.4919,1.97,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
102,Andy Sullivan,4,40.97,32.26,45.53,41.81,3.71,46.38,49.64,BirkdaleHistoryThin,0.18,1.27,3.13,7.69,23.1,-0.111,-0.187,-0.012,0.097,0.9283,3.71,1,NEUTRAL,Cut Sweat,Miss Cut
103,Jose Luis Ballester,4,40.77,45.81,31.16,31.41,-0.25,49.31,38.0,RoyalBirkdaleDebut,0.18,1.26,3.1,7.64,22.7,-0.328,0.728,-0.368,-0.088,-0.0616,-0.25,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
