player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P130,SMALLEY,ALEX,3,32,59.42891996709882,61.22549577114336,52.12879049999391,51.666666666666664,0.0,63.861750266642886,0.72,3.97,7.73,14.91,61.5,38.5,Top 20,none,HIGH
P131,SMITH,JORDAN,3,33,59.16712247339086,62.70501737833497,57.37699678215711,43.3,0.0,63.674413346426924,0.7,3.8,7.61,15.09,57.4,42.6,Top 20,none,MEDIUM
P016,CONNERS,COREY,3,34,62.83228738530231,62.25678323790578,47.36166979369567,43.5,0.0,63.469495323010925,0.61,3.65,7.16,13.9,57.8,42.2,Top 20,none,MEDIUM
P069,KNAPP,JAKE,3,35,66.70107257009771,61.28703676423838,46.88058421783071,34.9,0.0,63.31574096185351,0.57,3.35,6.74,13.38,55.3,44.7,Top 20,none,MEDIUM
P098,NOREN,ALEX,3,36,65.18846482867394,58.86060863957958,52.784816285264306,37.0,0.0,63.12300792050535,0.64,3.36,7.47,16.4,56.8,43.2,Top 20,none,MEDIUM
P032,FOX,RYAN,3,37,56.43279309466328,60.86227702323718,48.41131105012831,60.6,0.0,63.09709308253273,0.71,4.09,7.76,14.57,63.3,36.7,Top 20,none,HIGH
P143,THEEGALA,SAHITH,3,38,56.72367919878324,60.44624087661802,55.45265447869727,52.333333333333336,0.0,62.817096206308115,0.82,5.31,10.2,19.53,60.1,39.9,Top 20,none,MEDIUM
P034,GERARD,RYAN,3,39,62.105072125002415,61.21359996062242,33.84753861712543,57.8,0.0,62.76175001048615,0.56,3.79,7.01,12.83,62.3,37.7,Top 20,none,HIGH
P041,HARMAN,BRIAN,3,40,59.07985664215488,59.98642814728177,46.04961822315487,56.1,0.0,62.75748892867402,0.66,3.84,7.36,13.94,61.9,38.1,Top 20,none,HIGH
P015,COLE,ERIC,3,41,53.90208398881967,58.79859181406373,46.22455843256031,65.75,0.0,61.36850826935098,0.67,3.92,7.39,13.79,63.0,37.0,Top 20,none,HIGH
P026,FERGUSON,EWEN,3,42,48.753399945896454,60.624678034432186,62.88761337842846,56.7,0.0,60.83009851139061,0.74,3.84,8.29,17.75,57.3,42.7,Top 20,none,HIGH
P116,REED,PATRICK,3,43,63.61767986642619,49.12179935256168,50.0,52.833333333333336,0.0,60.803455948600934,0.54,2.76,5.8,11.99,50.8,49.2,Top 20,renaissance-debut,MEDIUM
P137,STRAKA,SEPP,3,44,61.63965435841048,61.31558670948864,59.43254424267103,23.3,0.0,60.58763101835129,0.53,2.89,6.74,15.49,45.5,54.5,Top 20,none,MEDIUM
P047,HILLIER,DANIEL,3,45,56.840033640431216,62.90708754638408,54.228073012859184,37.1,0.0,60.36470423584694,0.54,3.21,6.54,13.17,48.9,51.1,Top 20,none,MEDIUM
P155,YELLAMARAJU,SUDARSHAN,3,46,61.34876825429053,51.57423964955961,50.0,50.0,0.0,59.93423877064828,0.49,2.69,5.65,11.68,46.7,53.3,Top 20,renaissance-debut,MEDIUM
P132,SMOTHERMAN,AUSTIN,3,47,60.330666889870685,53.470590457405116,50.0,47.666666666666664,0.0,59.659950313418314,0.47,2.66,5.6,11.57,44.3,55.7,Top 20,renaissance-debut,MEDIUM
P097,NEERGAARD-PETERSEN,RASMUS,3,48,58.178109719383016,60.848636493839834,41.23876246450527,47.166666666666664,0.0,59.60636313188598,0.48,3.19,6.23,11.98,52.6,47.4,Top 20,none,MEDIUM
P017,COODY,PIERCESON,3,49,60.039780785750736,51.4830384355657,50.0,50.666666666666664,0.0,59.27747476819391,0.48,2.64,5.55,11.48,45.7,54.3,Top 20,renaissance-debut,MEDIUM
P107,PENGE,MARCO,3,50,61.523299916762504,46.34003015007502,75.13342803680926,31.700000000000003,0.0,59.24182158215862,0.69,3.2,7.4,16.93,53.9,46.1,Top 20,acc-neg/app-neg,LOW
P062,KEEFER,JOHNNY,3,51,55.647400613539396,53.9502295376096,50.0,57.2,0.0,59.2238875128484,0.49,2.85,5.84,11.79,46.3,53.7,Top 20,renaissance-debut,MEDIUM
P064,KIM,MICHAEL,3,52,55.26924867818346,59.10011095806793,46.88058421783071,50.833333333333336,0.0,59.181348417307795,0.53,3.24,6.39,12.44,53.8,46.2,Top 20,none,MEDIUM
P101,NOVAK,ANDREW,3,53,52.94215984522381,60.43640700658737,48.10516568366879,52.8,0.0,59.1066949212491,0.54,3.34,7.1,14.92,53.5,46.5,Top 20,none,HIGH
P080,LINDELL,OLIVER,3,54,60.8833504876986,47.87369091270418,50.0,54.833333333333336,0.0,59.10216058182972,0.51,2.62,5.53,11.45,48.9,51.1,Top 20,renaissance-debut,MEDIUM
P078,LI,HAOTONG,3,55,55.123805626123485,62.56099876562807,61.44435665083358,29.15,0.0,59.0534123754697,0.52,2.93,6.23,13.05,43.6,56.4,Top 20,none,MEDIUM
P103,OLESEN,THORBJORN,3,56,54.04752704087964,60.68574319510637,59.82615971383326,35.9,0.0,58.72817620662941,0.54,2.99,6.28,12.98,46.4,53.6,Top 20,none,MEDIUM
