player_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P040,HALL,HARRY,PGA Tour,FULL,False,0.001999999999999974,-0.17,0.11,0.41,0.63,0.35,0.13,-0.81,COLD,MODERATE,8.0,17.0,-0.04,-0.023,0.06
P023,ECKROAT,AUSTIN,PGA Tour,FULL,False,0.002999999999999989,0.01,0.44,-0.32,0.08,0.13,-0.43,-0.51,COOL,THIN,6.0,65.0,0.0,0.057,0.01
P078,LI,HAOTONG,PGA Tour,FULL,False,-0.0735,0.36,0.25,-0.25,-0.14,0.37,-0.87,-0.99,COLD,STRONG,20.0,21.0,0.06,0.011,0.01
P086,MCCARTY,MATT,PGA Tour,FULL,False,0.032,0.11,0.26,-0.07,0.28,0.29,0.1,-0.6,COOL,THIN,4.0,22.0,-0.11,0.019,-0.04
P050,HOJGAARD,RASMUS,PGA Tour,FULL,False,-0.07200000000000001,0.27,0.11,-0.17,0.51,0.21,-0.53,-1.17,COLD,MODERATE,18.0,21.0,0.26,0.002,0.15
P161,DOU,ZECHENG,PGA Tour,DEBUT,True,0.03642763157894736,,,,,,-0.03,-0.2,NEUTRAL,NONE,,,0.0,0.03,0.0
P026,FERGUSON,EWEN,DP World Tour,FULL,False,0.015000000000000005,0.08,0.12,-0.3,0.06,-0.09,0.28,0.31,WARM,STRONG,16.0,12.0,-0.17,0.0,-0.13
P163,STANGER,JIMMY,PGA Tour,DEBUT,True,0.03642763157894736,,,,,,-0.25,0.17,NEUTRAL,NONE,,,0.0,-0.14,0.0
P024,ELVIRA,NACHO,DP World Tour,DEBUT,True,0.03642763157894736,,,,,,,,NEUTRAL,NONE,,,0.0,0.0,0.0
P119,RODRIGUES,DANIEL,DP World Tour,DEBUT,True,0.03642763157894736,,,,,,,,NEUTRAL,NONE,,,0.0,0.0,0.0
P044,HIDALGO,ANGEL,DP World Tour,DEBUT,True,0.03642763157894736,,,,,,,,NEUTRAL,NONE,,,0.0,0.0,0.0
P055,HUBBARD,MARK,PGA Tour,FULL,False,-0.0555,-0.22,0.14,0.01,-0.27,-0.07,-0.24,0.05,NEUTRAL,THIN,2.0,,-0.03,0.007,-0.01
P098,NOREN,ALEX,PGA Tour,FULL,False,0.18749999999999997,0.11,0.32,0.14,0.83,0.56,0.73,-0.55,COOL,MODERATE,12.0,10.0,-0.23,-0.011,-0.11
P093,MOLINARI,FRANCESCO,DP World Tour,FULL,False,-0.07700000000000001,0.02,0.13,0.04,-0.91,0.2,-0.46,-0.11,NEUTRAL,MODERATE,13.0,46.0,-0.09,0.023,-0.1
P105,PARRY,JOHN,PGA Tour,FULL,False,-0.018500000000000016,0.06,0.33,0.07,-0.24,0.46,-0.22,-0.65,COOL,THIN,4.0,55.0,-0.12,0.043,-0.06
P137,STRAKA,SEPP,PGA Tour,FULL,False,-0.05950000000000005,0.16,0.52,-0.02,0.07,0.67,-0.91,-1.48,COLD,MODERATE,8.0,7.0,-0.08,0.019,-0.05
P012,CHACARRA,EUGENIO,DP World Tour,FULL,False,0.282,0.17,-0.17,-0.01,-0.05,-0.01,1.7,1.58,HOT,THIN,2.0,,-0.02,0.0,-0.03
P047,HILLIER,DANIEL,DP World Tour,FULL,False,0.03,0.39,0.21,-0.37,0.25,0.23,-0.08,-0.62,COOL,MODERATE,10.0,46.0,0.01,0.0,-0.05
P067,KIRK,CHRIS,PGA Tour,FULL,False,0.14,0.13,0.41,0.05,-0.35,0.58,-0.27,-0.43,COOL,THIN,4.0,71.0,-0.01,-0.002,-0.02
P156,YU,KEVIN,PGA Tour,FULL,False,0.08600000000000001,0.37,-0.02,-0.03,-0.08,0.32,0.15,0.0,NEUTRAL,MODERATE,8.0,34.0,0.04,0.021,0.0
P092,MIGLIOZZI,GUIDO,DP World Tour,FULL,False,-0.10800000000000001,-0.56,-0.27,0.15,-0.01,-0.67,-0.04,0.63,WARM,STRONG,22.0,54.0,0.0,0.0,0.04
P087,MCGREEVY,MAX,PGA Tour,FULL,False,0.10950000000000001,0.27,0.18,0.09,-0.35,0.54,0.24,-0.14,NEUTRAL,THIN,2.0,,-0.19,-0.009,-0.12
P021,DU PLESSIS,HENNIE,DP World Tour,FULL,True,-0.07350000000000001,0.37,0.3,-0.09,-0.57,0.58,-0.56,-0.93,COLD,NONE,0.0,,0.07,0.0,0.0
