event_name,course_name,player_name,dg_id,player_num,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Hisatsune, Ryo",22760,51287,9:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Nicolai",23602,52453,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Rasmus",23838,52686,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hollick, Michael",15993,36344,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Homa, Max",17538,39977,10:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Horschel, Billy",11276,29420,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hovland, Viktor",18841,46717,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Howard, David",33657,68566,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Howell, Mason",33759,68607,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Im, Sungjae",17488,39971,12:50 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Jarvis, Casey",26947,57688,10:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"John, Cameron",19390,47463,2:05 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Jordan, Matthew",25601,55955,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kaneko, Kota",28268,61148,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kataoka, Naoyuki",18994,46879,9:40 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Keefer, Johnny",32457,63454,1:35 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Michael",17543,39975,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Si Woo",14609,37455,3:20 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Tom",24766,55182,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kitayama, Kurt",21891,48117,10:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Knapp, Jake",19396,47420,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kobori, Kazuma",24369,54621,11:35 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Koepka, Brooks",16243,36689,9:50 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"LaCroix, Frederic",23733,52585,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lagergren, Joakim",14780,34317,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Laopakdee, Fifa",27019,70146,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Laporta, Francesco",14987,34607,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lee, Min Woo",16841,37378,9:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Li, Haotong",15310,35296,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lowry, Shane",13900,33204,2:15 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"MacIntyre, Robert",23323,52215,3:00 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Matsuyama, Hideki",13562,32839,11:45 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"McCarty, Matt",28635,59141,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"McDonald, Jack",16372,36872,9:10 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"McIlroy, Rory",10091,28237,12:20 PM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"McKibbin, Tom",22322,50823,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"McNealy, Maverick",18634,46442,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Mitchell, Keith",17365,39546,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Molinari, Francesco",7655,25198,2:45 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Morikawa, Collin",22085,50525,1:10 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Nagano, Ryutaro",10523,28521,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Nakajima, Keita",21074,49228,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Neergaard-Petersen, Rasmus",23841,52689,1:10 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Nicholas, James",27598,58188,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Niemann, Joaquin",18079,45486,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Noren, Alex",10419,27349,10:10 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Norris, Shaun",7677,26328,12:30 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Novak, Andrew",23475,51997,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Parry, John",13764,28723,12:40 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Penge, Marco",22465,51003,10:45 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Perez, Victor",20730,47679,1:55 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Plunkett, Marcus",29716,59613,9:40 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Poston, J.T.",21554,49771,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Potgieter, Aldrich",27900,63343,10:00 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Puig, David",28984,61193,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Pulcini, Mateo",35013,70145,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Rahm, Jon",19195,46970,2:35 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Rai, Aaron",18554,46414,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Reed, Patrick",14838,34360,1:35 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Reitan, Kristoffer",21407,49855,10:45 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Rose, Justin",6093,22405,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Rozner, Antoine",18770,46646,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Ruiter, Nevill",33707,68670,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Saddier, Adrien",14792,34371,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Schaper, Jayden",26991,57737,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Schauffele, Xander",19895,48081,10:30 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Scheffler, Scottie",18417,46046,2:45 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Scott, Adam",6430,24502,1:20 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Skogen, Baard",22489,70940,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Sloman, Tom",24055,53125,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Smalley, Alex",18474,46340,10:10 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Smith, Cameron",15856,35891,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Smith, Jordan",18586,46464,12:50 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Smyth, Trav",19232,47078,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Southgate, Matthew",15191,35174,1:00 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Spaun, J.J.",17536,39324,2:25 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Spieth, Jordan",14636,34046,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Stenson, Henrik",5994,21528,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Stevens, Sam",25569,55893,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Straka, Sepp",17511,49960,1:45 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Suber, Jackson",29279,60019,3:50 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Sullivan, Andy",15326,35314,12:10 PM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Surratt, Caleb",30463,64054,null,null,null,null,null,null,3
