POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T71,Jonathan,Byrd,-3,-0.19,285.1,67.90%,-1.31,69.40%,"33' 7""","80' 3""",0.21,0.27,70.40%,2.25,3.5,-1.02,-1.24,-1.5
T71,A.J.,Ewart,-3,-0.46,295.9,66.10%,0.36,68.10%,"27' 0""","44' 9""",-1.06,0.14,67.90%,2.75,2,-1.02,0.04,-0.1
T71,Sungjae,Im,-3,0.31,297.9,66.10%,-1.11,62.50%,"30' 0""","55' 2""",-0.8,0.57,66.70%,3.25,5,-1.02,-0.23,-0.8
T74,Fabian,Gomez,-2,-0.07,288.6,64.30%,-0.09,66.70%,"29' 11""","47' 3""",-1.41,0.3,60.60%,2.25,3,-1.28,0.14,-0.16
T74,Nicholas,Lindheim,-2,-0.11,285.6,69.60%,-0.94,69.40%,"34' 7""","48' 9""",0.03,-0.26,66.70%,1,2.5,-1.28,-1.3,-1.04
T74,Michael,Feagles,-2,-1,287.9,60.70%,0.27,75.00%,"30' 11""","37' 4""",-0.57,0.03,60.90%,2.25,3.5,-1.28,-0.7,-0.73
77,Ryan,Voois,E,-0.61,291.6,57.10%,-0.96,69.40%,"29' 4""","62' 5""",0.04,-0.25,56.50%,2.5,4.25,-1.77,-1.81,-1.57
78,Gordon,Sargent,2,-0.14,308.3,58.90%,-2.75,56.90%,"40' 0""","57' 9""",0.59,0.03,62.90%,5,4.75,-2.28,-2.86,-2.89
79,Ryan,Brehm,4,-0.17,303.6,58.90%,-0.49,68.10%,"27' 1""","52' 10""",-1.78,-0.33,54.30%,4.25,6.25,-2.78,-0.99,-0.66
,Austin,Cook,-2,-0.54,286.6,64.30%,-0.79,80.60%,"36' 9""","22' 9""",1.14,-0.23,55.60%,3,3.5,-0.42,-1.56,-1.33
,Takumi,Kanaya,-2,0.8,294.3,82.10%,-0.43,80.60%,"31' 3""","40' 10""",-0.56,-0.23,50.00%,1.5,2,-0.42,0.15,0.37
,Adam,Svensson,-2,-0.59,289.4,57.10%,1.75,66.70%,"21' 4""","73' 8""",-1.78,0.21,50.00%,4.5,3.5,-0.42,1.36,1.15
,Max,Greyserman,-2,-0.51,305.1,53.60%,-1.81,50.00%,"33' 11""","59' 2""",1.08,0.81,66.70%,4,3.5,-0.42,-1.49,-2.31
,Sudarshan,Yellamaraju,-2,0.02,299.3,67.90%,-0.7,55.60%,"28' 8""","49' 11""",0.53,-0.26,63.20%,3,5.5,-0.42,-0.95,-0.68
,Michael,Thorbjornsen,-2,-0.02,301.2,64.30%,-0.76,69.40%,"31' 5""","40' 8""",-0.49,0.85,58.30%,4.5,5.5,-0.42,0.08,-0.78
,Jimmy,Stanger,-2,0.38,305.7,57.10%,0.95,72.20%,"30' 11""","38' 4""",-1.52,-0.24,64.30%,4,4,-0.42,1.09,1.33
,Daniel,Berger,-2,0.09,300.6,57.10%,0.1,69.40%,"35' 1""","44' 10""",-0.72,0.11,58.80%,3.5,3,-0.42,0.3,0.19
,Webb,Simpson,-2,-1.3,298.6,50.00%,-0.74,52.80%,"28' 7""","61' 2""",2.07,-0.43,65.00%,3.5,6,-0.42,-2.49,-2.05
,Rico,Hoey,-2,0.41,317.4,46.40%,0.8,75.00%,"26' 1""","42' 3""",-1.51,-0.12,56.30%,3,4,-0.42,1.09,1.22
,Nick,Hardy,-2,-0.05,306,42.90%,0.03,63.90%,"30' 8""","49' 6""",-0.41,0.02,66.70%,4.5,2.5,-0.42,-0.01,-0.02
,Kevin,Streelman,-2,1.21,301.1,82.10%,-1.21,77.80%,"29' 0""","45' 9""",0.56,-0.97,50.00%,3.5,2,-0.42,-0.98,-0.01
,Johnny,Keefer,-2,0.09,308.6,53.60%,0.73,69.40%,"25' 10""","54' 4""",-0.39,-0.85,76.90%,4,2.5,-0.42,-0.03,0.82
,Neal,Shipley,-2,0.3,306.1,64.30%,-0.85,63.90%,"34' 6""","47' 8""",0.68,-0.55,55.60%,4,4,-0.42,-1.1,-0.54
,Jeffrey,Kang,-2,-0.14,296.4,57.10%,0.63,66.70%,"30' 10""","58' 5""",-0.99,0.08,56.30%,4,6,-0.42,0.57,0.49
,Dylan,Wu,-1,-0.01,296,60.70%,-0.46,63.90%,"31' 9""","46' 9""",-0.11,-0.34,61.90%,4.5,4,-0.92,-0.8,-0.47
,Brice,Garnett,-1,0.09,290.7,71.40%,0.4,63.90%,"29' 8""","94' 10""",-0.94,-0.46,66.70%,3,4.5,-0.92,0.02,0.48
,Hank,Lebioda,-1,0.39,302.9,60.70%,0.08,69.40%,"29' 11""","52' 11""",-1.9,0.51,58.30%,4.5,6,-0.92,0.98,0.47
,Taylor,Moore,-1,1.21,310,67.90%,-1.01,63.90%,"41' 4""","56' 11""",-1.65,0.53,61.10%,3,3,-0.92,0.72,0.19
,Joe,Highsmith,-1,-0.63,298.6,46.40%,-0.17,58.30%,"36' 7""","57' 11""",-1.01,0.88,66.70%,2,3.5,-0.92,0.09,-0.79
,Kensei,Hirata,-1,0.29,290.9,71.40%,-0.97,72.20%,"29' 11""","53' 6""",0.11,-0.35,60.00%,1.5,2,-0.92,-1.02,-0.68
,Dylan,Frittelli,-1,0.16,307.1,53.60%,-0.3,66.70%,"33' 9""","62' 6""",-1.07,0.29,64.70%,4.5,5,-0.92,0.15,-0.14
,Paul,Peterson,-1,-0.31,281.9,75.00%,0.95,66.70%,"27' 10""","36' 2""",-0.98,-0.58,46.70%,2.5,5.5,-0.92,0.07,0.64
,Luke,Clanton,-1,-1.06,291.3,53.60%,-0.4,61.10%,"31' 3""","60' 0""",0.76,-0.21,64.70%,3,3,-0.92,-1.68,-1.47
,Patrick,Adler,-1,-0.2,314.4,46.40%,-0.49,63.90%,"29' 11""","69' 7""",-0.71,0.47,62.50%,2.5,3.5,-0.92,-0.21,-0.69
,Brendon,Todd,-1,0.29,289,85.70%,-0.68,66.70%,"31' 8""","31' 0""",-0.76,0.23,73.30%,1,5,-0.92,-0.15,-0.39
,Haotong,Li,-1,0.55,303.3,71.40%,-0.23,72.20%,"31' 2""","52' 11""",-0.42,-0.83,50.00%,2.5,2.5,-0.92,-0.5,0.33
,Denny,McCarthy,E,-1.5,297.2,50.00%,0.34,63.90%,"25' 7""","53' 5""",0.52,-0.79,52.60%,4,4.5,-1.42,-1.93,-1.15
,Michael,Kim,E,-0.56,296.6,50.00%,-0.07,66.70%,"35' 4""","36' 7""",-0.46,-0.33,62.50%,2.5,1.5,-1.42,-0.96,-0.64
,Carson,Young,E,0.78,298.1,75.00%,-0.86,66.70%,"30' 2""","69' 7""",-0.86,-0.47,56.30%,3,7,-1.42,-0.56,-0.08
,Aldrich,Potgieter,E,0.92,316.9,46.40%,-1.66,69.40%,"45' 1""","40' 5""",-0.04,-0.63,50.00%,5,5.5,-1.42,-1.38,-0.75
,Garrick,Higgo,E,-0.25,306.5,42.90%,-1.39,52.80%,"29' 6""","70' 0""",0.2,0.02,77.80%,1.5,6,-1.42,-1.62,-1.64
