POS,PLAYER,THRU,R4,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
T51,Max McGreevy,-8,68,-2.444,(71st),5.154,(9th),-1.37,(68th),-0.431,(57th),0.91,(T51)
T51,Keith Mitchell,-8,68,1.138,(31st),-1.613,(67th),0.93,(30th),0.454,(49th),0.91,(T51)
T51,J.T. Poston,-8,68,2.82,(9th),-2.108,(69th),-1.543,(69th),1.74,(36th),0.91,(T51)
T51,Luke Gutschewski,-8,69,0.55,(36th),-0.284,(56th),3.804,(3rd),-3.161,(72nd),0.91,(T51)
T51,Chan Kim,-8,70,1.589,(22nd),1.643,(39th),0.044,(44th),-2.367,(69th),0.91,(T51)
T51,Andrew Putnam,-8,74,-5.543,(79th),2.956,(26th),-1.289,(65th),4.785,(9th),0.91,(T51)
T58,Jordan Spieth,-7,69,-0.95,(56th),2.255,(32nd),-4.988,(79th),3.592,(19th),-0.09,(T58)
T58,Austin Eckroat,-7,70,-2.792,(75th),3.29,(22nd),-2.116,(71st),1.527,(41st),-0.09,(T58)
T58,Hayden Springer,-7,72,-1.647,(64th),2.676,(28th),-2.271,(72nd),1.151,(42nd),-0.09,(T58)
T58,Peter Malnati,-7,71,-1.072,(57th),-0.684,(60th),3.422,(5th),-1.757,(65th),-0.09,(T58)
T58,Tony Finau,-7,71,3.36,(3rd),-3.529,(74th),-4.289,(78th),4.367,(12th),-0.09,(T58)
T58,Austin Smotherman,-7,72,2.814,(10th),3.71,(17th),-0.499,(50th),-6.116,(78th),-0.09,(T58)
64,Will Gordon,-6,68,2.163,(16th),-1.42,(66th),-0.576,(54th),-1.258,(63rd),-1.09,(64th)
T65,Camilo Villegas,-5,68,1.095,(32nd),-4.472,(77th),-1.838,(70th),3.124,(24th),-2.09,(T65)
T65,Davis Riley,-5,71,-3.457,(77th),1.494,(41st),-3.765,(77th),3.637,(17th),-2.09,(T65)
T67,Zach Bauchou,-4,69,-0.126,(43rd),1.922,(37th),-0.264,(48th),-4.623,(76th),-3.09,(T67)
T67,Rafael Campos,-4,71,-0.41,(49th),0.33,(50th),0.305,(39th),-3.316,(73rd),-3.09,(T67)
T67,Steven Fisk,-4,71,1.7,(19th),-3.628,(75th),0.339,(38th),-1.502,(64th),-3.09,(T67)
T67,Patrick Fishburn,-4,73,3.17,(5th),-1.262,(63rd),-0.478,(49th),-4.521,(75th),-3.09,(T67)
T71,Jonathan Byrd,-3,70,-1.435,(62nd),-4.711,(78th),1.15,(26th),0.905,(46th),-4.09,(T71)
T71,A.J. Ewart,-3,72,-1.672,(66th),1.154,(45th),0.729,(31st),-4.302,(74th),-4.09,(T71)
T71,Sungjae Im,-3,76,0.228,(39th),-3.391,(72nd),2.204,(12th),-3.132,(71st),-4.09,(T71)
T74,Fabián Gómez,-2,68,-0.714,(52nd),0.023,(51st),1.248,(23rd),-5.648,(77th),-5.09,(T74)
T74,Nicholas Lindheim,-2,69,-0.58,(50th),-3.5,(73rd),-1.098,(62nd),0.087,(55th),-5.09,(T74)
T74,Michael Feagles,-2,69,-4.882,(78th),2.177,(34th),-0.071,(45th),-2.315,(68th),-5.09,(T74)
77,Ryan Voois,E,74,-2.579,(73rd),-4.085,(76th),-0.585,(55th),0.158,(52nd),-7.09,(77th)
78,Gordon Sargent,2,76,-0.659,(51st),-10.616,(79th),-0.214,(47th),2.398,(29th),-9.09,(78th)
79,Ryan Brehm,4,74,-0.903,(54th),-1.773,(68th),-1.294,(66th),-7.121,(79th),-11.09,(79th)
CUT,Austin Cook,-2,-,-,-,-,-,-,,,,,
CUT,Takumi Kanaya,-2,-,-,-,-,-,-,,,,,
CUT,Adam Svensson,-2,-,-,-,-,-,-,,,,,
CUT,Max Greyserman,-2,-,-,-,-,-,-,,,,,
CUT,Sudarshan Yellamaraju,-2,-,-,-,-,-,-,,,,,
CUT,Michael Thorbjornsen,-2,-,-,-,-,-,-,,,,,
CUT,Jimmy Stanger,-2,-,-,-,-,-,-,,,,,
CUT,Daniel Berger,-2,-,-,-,-,-,-,,,,,
CUT,Webb Simpson,-2,-,-,-,-,-,-,,,,,
