position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
T30,"Im, Sungjae",AN,-11,18,-11,0.45,288.2,0.625,-1.13,0.639,"29' 8""","48' 7""",1.05,-0.11,0.667,3.5,3.25,0.27,-0.78,-0.67
T30,"Rai, Aaron",AN,-11,18,-11,0.28,280.8,0.732,-0.31,0.764,"27' 8""","65' 5""",-0.12,0.43,0.76,2.75,2.0,0.27,0.39,-0.04
T30,"Suber, Jackson",AN,-11,18,-11,0.35,289.1,0.661,-0.23,0.806,"26' 9""","50' 2""",0.17,-0.02,0.65,4.0,4.25,0.27,0.11,0.12
T30,"Gotterup, Chris",AN,-11,18,-11,0.45,293.6,0.661,0.24,0.819,"24' 6""","58' 5""",0.46,-0.88,0.5,4.75,3.0,0.27,-0.19,0.69
T38,"Snedeker, Brandt",AN,-10,18,-10,-0.38,279.7,0.696,-0.41,0.694,"26' 3""","58' 8""",1.21,-0.4,0.583,3.75,2.75,0.02,-1.2,-0.79
T38,"Fowler, Rickie",AN,-10,18,-10,0.29,285.1,0.732,-0.29,0.792,"25' 2""","50' 4""",-0.36,0.38,0.75,2.5,2.5,0.02,0.38,0.0
T38,"English, Harris",AN,-10,18,-10,0.04,284.4,0.661,0.13,0.792,"24' 7""","43' 3""",-0.45,0.31,0.583,2.0,2.25,0.02,0.47,0.16
T38,"Hoge, Tom",AN,-10,18,-10,-1.28,283.6,0.625,0.3,0.667,"23' 8""","58' 1""",0.72,0.27,0.63,4.0,3.75,0.02,-0.7,-0.97
T38,"Hisatsune, Ryo",AN,-10,18,-10,0.18,287.1,0.714,0.31,0.792,"23' 11""","63' 8""",-0.52,0.05,0.619,2.5,2.5,0.02,0.54,0.49
T38,"Cole, Eric",AN,-10,18,-10,-0.46,284.9,0.625,0.23,0.722,"25' 0""","50' 7""",-0.31,0.56,0.643,3.25,2.25,0.02,0.33,-0.23
T44,"Gerard, Ryan",AN,-9,18,-9,0.28,292.2,0.679,-0.98,0.639,"27' 5""","43' 9""",0.09,0.39,0.684,3.0,2.25,-0.23,-0.32,-0.7
T44,"Meissner, Mac",AN,-9,18,-9,0.4,283.2,0.75,-1.06,0.667,"27' 4""","55' 4""",0.64,-0.2,0.697,2.5,2.75,-0.23,-0.86,-0.66
T44,"Kim, Si Woo",AN,-9,18,-9,0.14,282.2,0.732,0.58,0.75,"23' 6""","68' 5""",-0.46,-0.49,0.5,4.0,3.75,-0.23,0.23,0.72
T47,"Young, Cameron",AN,-8,18,-8,0.58,295.3,0.625,-0.21,0.681,"24' 4""","58' 4""",-1.02,0.18,0.656,2.5,3.0,-0.48,0.54,0.36
T47,"Smalley, Alex",AN,-8,18,-8,0.02,284.3,0.696,-0.23,0.792,"27' 1""","38' 8""",0.62,-0.89,0.586,3.5,5.25,-0.48,-1.1,-0.21
T47,"Bridgeman, Jacob",AN,-8,18,-8,0.49,280.1,0.714,-0.31,0.708,"24' 9""","75' 9""",-0.51,-0.14,0.677,3.5,3.5,-0.48,0.04,0.17
T47,"Campbell, Brian",AN,-8,18,-8,-0.78,274.0,0.714,0.13,0.694,"24' 10""","43' 6""",0.47,-0.31,0.607,2.5,4.5,-0.48,-0.95,-0.65
T51,"Theegala, Sahith",AN,-7,18,-7,-0.52,287.6,0.5,-0.36,0.681,"27' 3""","59' 10""",-0.21,0.36,0.545,3.5,4.25,-0.73,-0.53,-0.88
T51,"Vegas, Jhonattan",AN,-7,18,-7,-0.26,289.5,0.554,-1.1,0.736,"29' 4""","57' 5""",0.11,0.52,0.682,2.5,3.0,-0.73,-0.84,-1.36
T51,"Hall, Harry",AN,-7,18,-7,-0.88,280.5,0.571,-1.66,0.653,"27' 6""","70' 11""",1.5,0.32,0.719,3.5,2.75,-0.73,-2.23,-2.54
T51,"Schauffele, Xander",AN,-7,18,-7,0.67,291.3,0.732,-0.89,0.764,"26' 11""","58' 11""",-0.7,0.19,0.609,2.5,3.75,-0.73,-0.03,-0.22
T55,"Aberg, Ludvig",AN,-6,18,-6,-0.46,290.2,0.732,0.75,0.764,"24' 11""","39' 10""",-1.15,-0.11,0.565,3.25,4.0,-0.98,0.17,0.29
T55,"Noren, Alex",AN,-6,18,-6,-0.16,277.4,0.732,-1.46,0.653,"31' 11""","79' 4""",1.1,-0.46,0.647,3.5,3.5,-0.98,-2.08,-1.62
T55,"Day, Jason",AN,-6,18,-6,0.03,281.4,0.768,-0.96,0.736,"29' 10""","52' 2""",-0.38,0.33,0.667,2.75,2.75,-0.98,-0.6,-0.93
T55,"Knapp, Jake",AN,-6,18,-6,-0.58,289.4,0.571,-0.34,0.681,"26' 0""","45' 5""",0.45,-0.51,0.515,3.25,3.5,-0.98,-1.43,-0.93
T55,"Finau, Tony",AN,-6,18,-6,-0.17,293.0,0.714,-0.21,0.736,"26' 10""","70' 9""",-0.84,0.24,0.583,4.75,4.75,-0.98,-0.14,-0.38
T55,"McNealy, Maverick",AN,-6,18,-6,-0.1,293.9,0.589,-0.71,0.722,"29' 1""","73' 6""",-0.35,0.19,0.75,3.5,4.75,-0.98,-0.63,-0.82
61,"Pendrith, Taylor",AN,-5,18,-5,-0.19,293.9,0.571,-1.23,0.694,"26' 10""","59' 2""",-0.05,0.23,0.654,2.0,4.0,-1.23,-1.18,-1.41
T62,"Lee, Min Woo",AN,-4,18,-4,-0.23,286.4,0.714,0.18,0.778,"25' 8""","55' 9""",-1.13,-0.3,0.615,3.0,3.5,-1.48,-0.34,-0.05
T62,"Stevens, Sam",AN,-4,18,-4,0.52,283.4,0.732,-1.37,0.708,"28' 4""","53' 5""",-0.17,-0.45,0.419,3.0,3.25,-1.48,-1.3,-0.85
T62,"James, Ben",AN,-4,18,-4,-0.01,279.8,0.786,-1.29,0.667,"26' 9""","97' 0""",0.17,-0.35,0.576,2.25,6.0,-1.48,-1.65,-1.3
65,"Scott, Adam",AN,-3,18,-3,-0.39,285.6,0.643,0.53,0.806,"27' 1""","48' 11""",-1.25,-0.62,0.6,3.0,4.75,-1.73,-0.48,0.14
T66,"Fox, Ryan",AN,E,18,E,-1.58,286.6,0.589,-0.31,0.639,"26' 8""","42' 6""",0.26,-0.85,0.543,3.0,5.0,-2.48,-2.74,-1.89
T66,"Spieth, Jordan",AN,E,18,E,-1.17,284.7,0.554,-0.35,0.681,"25' 11""","48' 7""",-0.93,-0.03,0.621,2.0,3.0,-2.48,-1.55,-1.52
T66,"Glover, Lucas",AN,E,18,E,0.34,283.4,0.821,-0.41,0.75,"29' 5""","38' 3""",-1.48,-0.94,0.5,2.75,4.0,-2.48,-1.0,-0.07
69,"Poston, J.T.",AN,+1,18,+1,-0.22,282.0,0.643,-0.58,0.708,"27' 2""","63' 6""",-0.4,-1.53,0.531,2.75,4.0,-2.73,-2.33,-0.8
70,"Hubbard, Mark",AN,+2,18,+2,-0.51,281.7,0.589,-0.3,0.722,"29' 8""","53' 7""",-2.57,0.4,0.4,3.0,3.5,-2.98,-0.41,-0.81
71,"Woodland, Gary",AN,+5,18,+5,-0.25,291.3,0.679,-0.44,0.694,"26' 4""","62' 11""",-2.31,-0.73,0.517,1.0,4.75,-3.73,-1.43,-0.69
72,"Straka, Sepp",AN,+10,18,+10,-0.42,278.0,0.643,-2.05,0.625,"31' 2""","67' 8""",-1.41,-1.1,0.457,2.0,5.0,-4.98,-3.57,-2.47
