rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
11,54,"Fisk, Steven",FISK_STEVEN,deep,high,0.03,75.02214348981401,0.03,0.13,-0.21,0.07,0.06,-0.01,87,1.0,6.9,-0.2,71.9190390617611,72.5124183006536,72.40686085803499,43.132751492880125,67.81395348837209,71.64502164502167,71.07164358819988,54.91143317230275,55.587392550143264,73.05746295627033,-0.03,-0.01,0.0,-0.02,0.0,6.9,11.8,2.1,1.3,1.9,6.2,5.8,3.4,66.42663523192509,-8.595508257888923,high,2,-1.841,-0.0352,low,False,,False,False,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
12,35,"Bauchou, Zach",BAUCHOU_ZACH,deep,high,0.18,77.67936226749336,0.18,-0.1,0.41,0.18,0.06,0.49,96,1.0,-4.0,-0.8,86.60739619786249,87.0797385620915,87.02681894007442,37.71244832338081,51.813953488372086,71.64502164502167,71.07164358819988,51.74449812130971,61.365807067812796,83.41163715215035,0.01,0.0,0.0,0.01,0.0,6.9,11.8,1.9,1.3,1.8,6.1,6.0,3.5,72.97608525510582,-4.703277012387545,high,0,,0.0,none,True,B,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
13,16,"Homa, Max",HOMA_MAX,deep,high,0.49,83.17094774136406,0.49,0.17,0.19,-0.08,0.3,0.28,84,0.0,3.1,-0.4,81.23522179135534,81.90326797385622,81.8170152701142,43.22462103812587,65.58139534883722,77.99422799422801,77.57375075255867,46.05475040257649,47.70773638968481,81.76725695699312,-0.05,-0.02,0.0,-0.01,-0.02,6.9,11.8,2.1,1.3,1.9,6.1,5.8,3.4,71.33951277829686,-11.831434963067196,high,10,0.924,4.208,medium,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
14,15,"Mccarthy, Denny",MCCARTHY_DENNY,deep,high,0.51,83.52524357838796,0.51,-0.33,0.2,0.07,0.61,-0.06,86,0.0,-8.4,-1.1,80.83798354298686,82.13856209150327,82.10359724539116,32.843362425356005,41.48837209302326,86.19528619528623,83.86514148103548,50.0805152979066,59.88538681948423,71.88290567401519,-0.05,-0.06,0.0,0.02,-0.01,6.9,11.7,2.0,1.4,1.8,6.1,6.1,3.5,70.65655633988764,-12.868687238500314,high,24,1.211,1.9751999999999998,medium,False,,False,False,False,False,False,PUTT_BirdieConv,OTT_Accuracy,PUTT_BirdieConv+PUTT_Lag; weak OTT_Accuracy
15,14,"Kim, Michael",KIM_MICHAEL,deep,high,0.55,84.23383525243578,0.55,-0.2,0.36,0.07,0.4,0.22,111,1.0,-4.0,-3.1,84.73470159841105,85.9032679738562,85.83344026690621,31.23564538355536,48.83720930232558,80.63973063973067,78.17579771222151,45.24959742351046,55.587392550143264,78.58691723888688,-0.07,-0.05,0.0,0.0,-0.03,6.9,11.7,1.9,1.3,1.9,6.1,5.9,3.4,70.79474845025219,-13.439086802183596,high,22,-0.302,0.6368,medium,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
16,13,"Cole, Eric",COLE_ERIC,deep,high,0.59,84.94242692648362,0.59,-0.58,0.38,0.35,0.47,0.14,90,0.0,-3.5,-5.5,84.92386266906271,86.37385620915033,86.30394798751016,19.56821313734498,38.88372093023256,80.32708032708034,76.76098735701379,61.78207192699945,70.29608404966571,73.1658836284785,-0.11,-0.07,0.0,0.01,-0.05,6.8,11.6,1.9,1.3,1.9,6.1,5.9,3.4,69.32664773384232,-15.615779192641298,high,14,0.117,0.5824,medium,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
17,7,"Spieth, Jordan",SPIETH_JORDAN,deep,high,0.77,88.13108945969886,0.77,0.27,0.23,0.15,0.12,0.65,80,0.0,6.6,-1.6,82.13373687695072,82.86535947712419,82.75803071132212,42.94901240238862,71.6279069767442,73.23232323232325,70.59000602046959,49.97316156736446,55.49188156638013,87.54969280809541,-0.04,-0.02,0.0,-0.01,-0.01,6.9,11.7,1.9,1.2,1.9,6.2,5.8,3.4,71.85339955174672,-16.277689907952137,high,20,1.82,1.9912,medium,False,,False,True,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
18,20,"Brennan, Michael",BRENNAN_MICHAEL,deep,high,0.4,81.57661647475643,0.4,0.93,0.01,-0.37,-0.22,0.56,109,4.0,17.9,1.6,77.70736782370187,77.6888888888889,77.53111766970358,61.139182361047325,100.0,66.40211640211639,68.90427453341351,24.10091250670961,28.175740210124168,92.13950126490784,-0.01,0.03,0.0,-0.04,0.0,7.0,12.0,2.0,1.2,2.0,6.2,5.5,3.3,70.30146897279299,-11.275147501963446,high,0,,0.0,none,True,B,False,False,False,False,True,OTT_Distance,ARG_Rough,OTT_Distance+PAR5_Scoring; weak ARG_Rough
19,8,"Meissner, Mac",MEISSNER_MAC,deep,high,0.72,87.24534986713907,0.72,0.07,0.3,0.25,0.14,0.62,92,0.0,2.2,-1.3,83.45786437151233,84.49150326797385,84.42191710509431,39.64170877354158,62.139534883720934,73.76142376142379,71.13184828416613,55.87761674718196,65.0429799426934,85.5800505963137,-0.06,-0.04,0.0,0.0,-0.02,6.9,11.7,1.9,1.3,1.9,6.1,5.9,3.4,71.9565755911451,-15.288774275993973,high,6,0.765,1.9856,medium,False,,False,True,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
20,34,"Yellamaraju, Sudarshan",YELLAMARAJU_SUDARSHAN,deep,high,0.18,77.67936226749336,0.18,0.48,0.21,-0.05,0.27,0.63,107,0.0,9.1,1.8,81.84999527097324,82.39477124183007,82.28752299071816,53.37620578778137,79.62790697674419,77.20057720057721,76.76098735701385,42.99516908212561,49.28366762177651,89.73617636429346,-0.01,-0.01,0.0,-0.02,0.01,6.9,11.8,2.0,1.3,1.9,6.2,5.8,3.4,74.47768463464648,-3.201677632846881,high,0,,0.0,none,True,B,False,False,False,False,True,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
21,56,"Suber, Jackson",SUBER_JACKSON,deep,high,0.02,74.84499557130204,0.02,0.07,0.04,-0.06,0.0,0.05,88,0.0,1.4,-2.8,78.06677385794003,78.37385620915033,78.2882073655845,37.069361506660556,61.209302325581405,70.05772005772008,71.55328115593016,42.40472356414385,48.75835721107927,76.11131189013372,-0.01,0.01,0.0,-0.01,-0.01,6.9,11.9,2.0,1.3,1.9,6.1,5.8,3.4,67.40277765231409,-7.44221791898795,high,2,0.159,-0.0176,low,False,,False,False,False,False,True,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
22,11,"Poston, J.T.",POSTON_J.T.,deep,high,0.68,86.53675819309123,0.68,0.27,0.27,-0.05,0.13,0.49,80,1.0,-5.2,4.7,83.06062612314385,83.78562091503268,83.7332648958467,55.35140101056501,61.02325581395349,73.49687349687352,72.96809151113789,38.164251207729464,49.28366762177651,86.32092518973616,0.04,-0.02,0.0,0.01,0.05,6.9,11.8,1.9,1.3,1.8,6.1,6.0,3.6,73.91547294765289,-12.621285245438344,high,26,0.212,0.07840000000000001,medium,False,,False,False,False,False,True,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
23,24,"Pendrith, Taylor",PENDRITH_TAYLOR,deep,high,0.36,80.86802480070861,0.36,0.47,0.03,0.03,-0.13,0.54,81,0.0,9.9,-2.1,77.7546580913648,78.15947712418301,78.03584413362418,45.6132292145154,80.09302325581396,66.61856661856665,65.92414208308244,47.7187332259796,53.48615090735434,86.35706541380556,-0.04,0.0,0.0,-0.02,-0.02,6.9,11.8,2.0,1.3,2.0,6.2,5.7,3.3,68.88341962891963,-11.984605171788985,high,0,,0.0,none,True,B,False,True,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+OTT_Distance; weak OTT_Accuracy
24,84,"Peterson, Paul",PETERSON_PAUL,deep,high,-0.41,67.22763507528788,-0.41,-0.74,0.06,0.13,0.22,-0.55,82,0.0,-22.4,8.7,78.18027050033103,78.80261437908497,78.87848068779674,44.694533762057894,17.581395348837216,75.8778258778259,74.5033112582781,58.454106280193265,67.3352435530086,59.61329960245754,0.13,-0.01,0.0,0.05,0.09,6.9,11.7,2.1,1.5,1.5,5.9,6.5,3.8,70.5691752848989,3.3415402096110256,high,2,0.159,-0.016,low,False,,False,False,False,False,False,APP_150-200,OTT_Distance,APP_150-200+APP_100-150; weak OTT_Distance
25,28,"Greyserman, Max",GREYSERMAN_MAX,deep,high,0.33,80.33658104517272,0.33,-0.11,0.0,0.09,0.15,-0.03,78,0.0,7.5,-5.4,76.71427220278068,77.45359477124182,77.33008255271825,28.43362425355995,61.67441860465117,74.02597402597405,73.50993377483441,51.2614063338701,56.638013371537724,72.4611492591254,-0.08,-0.02,0.0,-0.02,-0.05,6.9,11.8,2.0,1.3,2.0,6.2,5.7,3.3,65.85587374003129,-14.480707305141436,high,4,1.068,0.008,low,False,,False,True,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
